#Longitud de onda =  700  nm				Anchura de pulso =  125  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0    1.374910e-01  -1.897703e-01    4.590507e-10    -6.346339e-10  
     1.0    1.271471e-01  -1.937748e-01    4.249775e-10    -6.496155e-10  
     2.0    1.167166e-01  -1.972519e-01    3.906165e-10    -6.628298e-10  
     3.0    1.062253e-01  -2.002038e-01    3.560547e-10    -6.742804e-10  
     4.0    9.569899e-02  -2.026341e-01    3.213780e-10    -6.839748e-10  
     5.0    8.516280e-02  -2.045474e-01    2.866710e-10    -6.919245e-10  
     6.0    7.464147e-02  -2.059495e-01    2.520167e-10    -6.981450e-10  
     7.0    6.415919e-02  -2.068474e-01    2.174962e-10    -7.026559e-10  
     8.0    5.373963e-02  -2.072491e-01    1.831889e-10    -7.054800e-10  
     9.0    4.340580e-02  -2.071638e-01    1.491719e-10    -7.066441e-10  
    10.0    3.318007e-02  -2.066016e-01    1.155201e-10    -7.061783e-10  
    11.0    2.308412e-02  -2.055735e-01    8.230619e-11    -7.041159e-10  
    12.0    1.313887e-02  -2.040916e-01    4.960011e-11    -7.004935e-10  
    13.0    3.364481e-03  -2.021687e-01    1.746927e-11    -6.953507e-10  
    14.0   -6.219718e-03  -1.998184e-01   -1.402170e-11    -6.887298e-10  
    15.0   -1.559522e-02  -1.970553e-01   -4.481103e-11    -6.806759e-10  
    16.0   -2.474441e-02  -1.938946e-01   -7.483995e-11    -6.712367e-10  
    17.0   -3.365054e-02  -1.903519e-01   -1.040527e-10    -6.604620e-10  
    18.0   -4.229780e-02  -1.864439e-01   -1.323967e-10    -6.484040e-10  
    19.0   -5.067132e-02  -1.821875e-01   -1.598226e-10    -6.351169e-10  
    20.0   -5.875719e-02  -1.776002e-01   -1.862842e-10    -6.206567e-10  
    21.0   -6.654246e-02  -1.727000e-01   -2.117388e-10    -6.050809e-10  
    22.0   -7.401517e-02  -1.675052e-01   -2.361468e-10    -5.884489e-10  
    23.0   -8.116434e-02  -1.620346e-01   -2.594723e-10    -5.708209e-10  
    24.0   -8.798002e-02  -1.563072e-01   -2.816825e-10    -5.522587e-10  
    25.0   -9.445323e-02  -1.503421e-01   -3.027483e-10    -5.328247e-10  
    26.0   -1.005760e-01  -1.441588e-01   -3.226438e-10    -5.125824e-10  
    27.0   -1.063414e-01  -1.377768e-01   -3.413466e-10    -4.915956e-10  
    28.0   -1.117435e-01  -1.312158e-01   -3.588378e-10    -4.699289e-10  
    29.0   -1.167772e-01  -1.244953e-01   -3.751019e-10    -4.476469e-10  
    30.0   -1.214386e-01  -1.176351e-01   -3.901264e-10    -4.248145e-10  
    31.0   -1.257247e-01  -1.106546e-01   -4.039027e-10    -4.014964e-10  
    32.0   -1.296335e-01  -1.035733e-01   -4.164249e-10    -3.777572e-10  
    33.0   -1.331638e-01  -9.641043e-02   -4.276907e-10    -3.536612e-10  
    34.0   -1.363154e-01  -8.918507e-02   -4.377008e-10    -3.292720e-10  
    35.0   -1.390892e-01  -8.191601e-02   -4.464590e-10    -3.046527e-10  
    36.0   -1.414866e-01  -7.462174e-02   -4.539721e-10    -2.798656e-10  
    37.0   -1.435102e-01  -6.732041e-02   -4.602500e-10    -2.549720e-10  
    38.0   -1.451633e-01  -6.002982e-02   -4.653051e-10    -2.300323e-10  
    39.0   -1.464501e-01  -5.276731e-02   -4.691529e-10    -2.051055e-10  
    40.0   -1.473754e-01  -4.554982e-02   -4.718114e-10    -1.802495e-10  
    41.0   -1.479449e-01  -3.839378e-02   -4.733012e-10    -1.555206e-10  
    42.0   -1.481650e-01  -3.131511e-02   -4.736452e-10    -1.309737e-10  
    43.0   -1.480429e-01  -2.432918e-02   -4.728688e-10    -1.066621e-10  
    44.0   -1.475862e-01  -1.745080e-02   -4.709996e-10    -8.263726e-11  
    45.0   -1.468034e-01  -1.069418e-02   -4.680672e-10    -5.894894e-11  
    46.0   -1.457034e-01  -4.072919e-03   -4.641034e-10    -3.564497e-11  
    47.0   -1.442957e-01   2.400043e-03   -4.591415e-10    -1.277120e-11  
    48.0   -1.425905e-01   8.712412e-03   -4.532170e-10     9.628515e-12  
    49.0   -1.405983e-01   1.485257e-02   -4.463666e-10     3.151245e-11  
    50.0   -1.383300e-01   2.080961e-02   -4.386286e-10     5.284102e-11  
    51.0   -1.357970e-01   2.657330e-02   -4.300428e-10     7.357684e-11  
    52.0   -1.330112e-01   3.213414e-02   -4.206500e-10     9.368475e-11  
    53.0   -1.299847e-01   3.748334e-02   -4.104922e-10     1.131319e-10  
    54.0   -1.267298e-01   4.261287e-02   -3.996123e-10     1.318877e-10  
    55.0   -1.232594e-01   4.751541e-02   -3.880541e-10     1.499240e-10  
    56.0   -1.195862e-01   5.218437e-02   -3.758620e-10     1.672148e-10  
    57.0   -1.157234e-01   5.661392e-02   -3.630810e-10     1.837367e-10  
    58.0   -1.116842e-01   6.079894e-02   -3.497566e-10     1.994684e-10  
    59.0   -1.074820e-01   6.473507e-02   -3.359344e-10     2.143912e-10  
    60.0   -1.031303e-01   6.841865e-02   -3.216605e-10     2.284887e-10  
    61.0   -9.864261e-02   7.184677e-02   -3.069808e-10     2.417465e-10  
    62.0   -9.403238e-02   7.501721e-02   -2.919412e-10     2.541531e-10  
    63.0   -8.931312e-02   7.792844e-02   -2.765875e-10     2.656988e-10  
    64.0   -8.449830e-02   8.057966e-02   -2.609652e-10     2.763765e-10  
    65.0   -7.960127e-02   8.297070e-02   -2.451193e-10     2.861810e-10  
    66.0   -7.463527e-02   8.510208e-02   -2.290944e-10     2.951096e-10  
    67.0   -6.961341e-02   8.697496e-02   -2.129345e-10     3.031616e-10  
    68.0   -6.454862e-02   8.859112e-02   -1.966827e-10     3.103383e-10  
    69.0   -5.945362e-02   8.995295e-02   -1.803815e-10     3.166433e-10  
    70.0   -5.434092e-02   9.106342e-02   -1.640725e-10     3.220819e-10  
    71.0   -4.922278e-02   9.192608e-02   -1.477963e-10     3.266615e-10  
    72.0   -4.411117e-02   9.254502e-02   -1.315922e-10     3.303914e-10  
    73.0   -3.901776e-02   9.292484e-02   -1.154987e-10     3.332826e-10  
    74.0   -3.395392e-02   9.307065e-02   -9.955296e-11     3.353477e-10  
    75.0   -2.893068e-02   9.298802e-02   -8.379076e-11     3.366013e-10  
    76.0   -2.395870e-02   9.268297e-02   -6.824667e-11     3.370592e-10  
    77.0   -1.904829e-02   9.216191e-02   -5.295383e-11     3.367389e-10  
    78.0   -1.420941e-02   9.143162e-02   -3.794402e-11     3.356592e-10  
    79.0   -9.451689e-03   9.049917e-02   -2.324769e-11     3.338400e-10  
    80.0   -4.784491e-03   8.937178e-02   -8.894165e-12     3.313021e-10  
    81.0   -2.171159e-04   8.805661e-02    5.087978e-12     3.280664e-10  
    82.0    4.240860e-03   8.656035e-02    1.866998e-11     3.241531e-10  
    83.0    8.578927e-03   8.488848e-02    3.182124e-11     3.195800e-10  
    84.0    1.278447e-02   8.304409e-02    4.450625e-11     3.143586e-10  
    85.0    1.684085e-02   8.102582e-02    5.667944e-11     3.084893e-10  
    86.0    2.072429e-02   7.882479e-02    6.827680e-11     3.019528e-10  
