#Longitud de onda =  427  nm				Anchura de pulso =  25  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0   -1.835935e-16   2.584389e-17   -5.702427e-25     1.110733e-25  
     1.0   -1.473489e-16   2.713907e-17   -4.059572e-25     1.432181e-25  
     2.0   -1.205125e-16   2.415156e-17   -2.706558e-25     1.671838e-25  
     3.0   -1.014666e-16   1.779856e-17   -1.578959e-25     1.895689e-25  
     4.0   -8.887623e-17   8.513021e-18   -6.238583e-26     2.159575e-25  
     5.0   -8.163588e-17  -3.678535e-18    2.006839e-26     2.514080e-25  
     6.0   -7.881351e-17  -1.910716e-17    9.258536e-26     3.008698e-25  
     7.0   -7.958869e-17  -3.843697e-17    1.571826e-25     3.695463e-25  
     8.0   -8.318419e-17  -6.266098e-17    2.146893e-25     4.632226e-25  
     9.0   -8.878778e-17  -9.311428e-17    2.645814e-25     5.885683e-25  
    10.0   -9.546038e-17  -1.315016e-16    3.047219e-25     7.534226e-25  
    11.0   -1.020256e-16  -1.799365e-16    3.309845e-25     9.670658e-25  
    12.0   -1.069342e-16  -2.409903e-16    3.367369e-25     1.240475e-24  
    13.0   -1.080968e-16  -3.177458e-16    3.121526e-25     1.586551e-24  
    14.0   -1.026743e-16  -4.138528e-16    2.433176e-25     2.020313e-24  
    15.0   -8.681785e-17  -5.335795e-16    1.110885e-25     2.559011e-24  
    16.0   -5.534375e-17  -6.818515e-16   -1.103445e-25     3.222151e-24  
    17.0   -1.330639e-18  -8.642677e-16   -4.552464e-25     4.031354e-24  
    18.0    8.437783e-17  -1.087080e-15   -9.685393e-25     5.009987e-24  
    19.0    2.137830e-16  -1.357114e-15   -1.708487e-24     6.182476e-24  
    20.0    4.024737e-16  -1.681613e-15   -2.749935e-24     7.573170e-24  
    21.0    6.705242e-16  -2.067962e-15   -4.188187e-24     9.204602e-24  
    22.0    1.043569e-15  -2.523253e-15   -6.143586e-24     1.109494e-23  
    23.0    1.554078e-15  -3.053646e-15   -8.766882e-24     1.325437e-23  
    24.0    2.242861e-15  -3.663438e-15   -1.224544e-23     1.568008e-23  
    25.0    3.160807e-15  -4.353768e-15   -1.681035e-23     1.834950e-23  
    26.0    4.370887e-15  -5.120841e-15   -2.274434e-23     2.121122e-23  
    27.0    5.950426e-15  -5.953548e-15   -3.039064e-23     2.417304e-23  
    28.0    7.993624e-15  -6.830303e-15   -4.016248e-23     2.708648e-23  
    29.0    1.061432e-14  -7.714915e-15   -5.255305e-23     2.972684e-23  
    30.0    1.394890e-14  -8.551253e-15   -6.814562e-23     3.176776e-23  
    31.0    1.815938e-14  -9.256418e-15   -8.762314e-23     3.274923e-23  
    32.0    2.343630e-14  -9.712105e-15   -1.117767e-22     3.203755e-23  
    33.0    3.000148e-14  -9.753761e-15   -1.415113e-22     2.877574e-23  
    34.0    3.811018e-14  -9.157097e-15   -1.778484e-22     2.182263e-23  
    35.0    4.805232e-14  -7.621461e-15   -2.219214e-22     9.678653e-24  
    36.0    6.015217e-14  -4.749506e-15   -2.749638e-22    -9.603787e-24  
    37.0    7.476596e-14  -2.253042e-17   -3.382842e-22    -3.852769e-23  
    38.0    9.227625e-14   7.229168e-15   -4.132256e-22    -8.027894e-23  
    39.0    1.130821e-13   1.786163e-14   -5.011025e-22    -1.388762e-22  
    40.0    1.375835e-13   3.295898e-14   -6.031090e-22    -2.193456e-22  
    41.0    1.661579e-13   5.388228e-14   -7.201897e-22    -3.279222e-22  
    42.0    1.991272e-13   8.232610e-14   -8.528631e-22    -4.722790e-22  
    43.0    2.367117e-13   1.203834e-13   -1.000984e-21    -6.617856e-22  
    44.0    2.789675e-13   1.706186e-13   -1.163431e-21    -9.077932e-22  
    45.0    3.257039e-13   2.361500e-13   -1.337700e-21    -1.223947e-21  
    46.0    3.763754e-13   3.207390e-13   -1.519384e-21    -1.626515e-21  
