#Longitud de onda =  570  nm				Anchura de pulso =  50  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0   -7.382159e-05   8.942581e-05   -2.441456e-13     3.000284e-13  
     1.0   -6.473040e-05   8.756312e-05   -2.117374e-13     2.955652e-13  
     2.0   -5.629625e-05   8.527286e-05   -1.815478e-13     2.897040e-13  
     3.0   -4.850243e-05   8.261588e-05   -1.535347e-13     2.826615e-13  
     4.0   -4.132930e-05   7.964858e-05   -1.276466e-13     2.746393e-13  
     5.0   -3.475476e-05   7.642295e-05   -1.038241e-13     2.658238e-13  
     6.0   -2.875463e-05   7.298674e-05   -8.200110e-14     2.563867e-13  
     7.0   -2.330301e-05   6.938362e-05   -6.210635e-14     2.464852e-13  
     8.0   -1.837263e-05   6.565325e-05   -4.406456e-14     2.362626e-13  
     9.0   -1.393516e-05   6.183154e-05   -2.779747e-14     2.258486e-13  
    10.0   -9.961501e-06   5.795080e-05   -1.322490e-14     2.153597e-13  
    11.0   -6.422047e-06   5.403994e-05   -2.656142e-16     2.048999e-13  
    12.0   -3.286914e-06   5.012465e-05    1.116182e-14     1.945613e-13  
    13.0   -5.261595e-07   4.622764e-05    2.113832e-14     1.844243e-13  
    14.0    1.890032e-06   4.236883e-05    2.974369e-14     1.745585e-13  
    15.0    3.991176e-06   3.856556e-05    3.705601e-14     1.650233e-13  
    16.0    5.806342e-06   3.483281e-05    4.315117e-14     1.558681e-13  
    17.0    7.364018e-06   3.118341e-05    4.810249e-14     1.471332e-13  
    18.0    8.692003e-06   2.762824e-05    5.198041e-14     1.388503e-13  
    19.0    9.817301e-06   2.417643e-05    5.485216e-14     1.310429e-13  
    20.0    1.076604e-05   2.083557e-05    5.678165e-14     1.237268e-13  
    21.0    1.156340e-05   1.761188e-05    5.782927e-14     1.169108e-13  
    22.0    1.223355e-05   1.451044e-05    5.805184e-14     1.105972e-13  
    23.0    1.279961e-05   1.153532e-05    5.750260e-14     1.047820e-13  
    24.0    1.328358e-05   8.689744e-06    5.623118e-14     9.945558e-14  
    25.0    1.370635e-05   5.976309e-06    5.428375e-14     9.460293e-14  
    26.0    1.408763e-05   3.397081e-06    5.170304e-14     9.020426e-14  
    27.0    1.444594e-05   9.537636e-07    4.852856e-14     8.623525e-14  
    28.0    1.479862e-05  -1.352181e-06    4.479674e-14     8.266744e-14  
    29.0    1.516179e-05  -3.519402e-06    4.054118e-14     7.946856e-14  
    30.0    1.555031e-05  -5.546553e-06    3.579284e-14     7.660288e-14  
    31.0    1.597784e-05  -7.432188e-06    3.058036e-14     7.403147e-14  
    32.0    1.645677e-05  -9.174670e-06    2.493033e-14     7.171255e-14  
    33.0    1.699825e-05  -1.077209e-05    1.886759e-14     6.960170e-14  
    34.0    1.761214e-05  -1.222221e-05    1.241555e-14     6.765218e-14  
    35.0    1.830705e-05  -1.352237e-05    5.596542e-15     6.581516e-14  
    36.0    1.909028e-05  -1.466948e-05   -1.567827e-15     6.403997e-14  
    37.0    1.996786e-05  -1.565997e-05   -9.056339e-15     6.227437e-14  
    38.0    2.094448e-05  -1.648974e-05   -1.684779e-14     6.046473e-14  
    39.0    2.202354e-05  -1.715417e-05   -2.492064e-14     5.855636e-14  
    40.0    2.320707e-05  -1.764813e-05   -3.325261e-14     5.649368e-14  
    41.0    2.449574e-05  -1.796593e-05   -4.182039e-14     5.422048e-14  
    42.0    2.588888e-05  -1.810140e-05   -5.059921e-14     5.168021e-14  
    43.0    2.738438e-05  -1.804786e-05   -5.956252e-14     4.881620e-14  
    44.0    2.897874e-05  -1.779820e-05   -6.868166e-14     4.557195e-14  
    45.0    3.066701e-05  -1.734493e-05   -7.792553e-14     4.189140e-14  
    46.0    3.244278e-05  -1.668020e-05   -8.726026e-14     3.771923e-14  
    47.0    3.429817e-05  -1.579589e-05   -9.664890e-14     3.300116e-14  
    48.0    3.622380e-05  -1.468369e-05   -1.060512e-13     2.768430e-14  
