#Longitud de onda =  500  nm				Anchura de pulso =  125  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0    2.336266e-01  -1.513554e-02    7.823584e-10    -5.143615e-11  
     1.0    2.293656e-01  -2.990300e-02    7.711974e-10    -1.016364e-10  
     2.0    2.241824e-01  -4.424502e-02    7.569359e-10    -1.504015e-10  
     3.0    2.181178e-01  -5.810731e-02    7.396985e-10    -1.975422e-10  
     4.0    2.112158e-01  -7.143878e-02    7.196204e-10    -2.428805e-10  
     5.0    2.035236e-01  -8.419177e-02    6.968470e-10    -2.862497e-10  
     6.0    1.950908e-01  -9.632214e-02    6.715324e-10    -3.274953e-10  
     7.0    1.859695e-01  -1.077894e-01    6.438393e-10    -3.664754e-10  
     8.0    1.762137e-01  -1.185570e-01    6.139374e-10    -4.030610e-10  
     9.0    1.658795e-01  -1.285921e-01    5.820028e-10    -4.371364e-10  
    10.0    1.550244e-01  -1.378657e-01    5.482170e-10    -4.685994e-10  
    11.0    1.437069e-01  -1.463531e-01    5.127663e-10    -4.973618e-10  
    12.0    1.319868e-01  -1.540335e-01    4.758401e-10    -5.233492e-10  
    13.0    1.199244e-01  -1.608899e-01    4.376308e-10    -5.465012e-10  
    14.0    1.075802e-01  -1.669097e-01    3.983323e-10    -5.667714e-10  
    15.0    9.501496e-02  -1.720841e-01    3.581394e-10    -5.841273e-10  
    16.0    8.228921e-02  -1.764081e-01    3.172467e-10    -5.985502e-10  
    17.0    6.946298e-02  -1.798810e-01    2.758481e-10    -6.100352e-10  
    18.0    5.659553e-02  -1.825055e-01    2.341352e-10    -6.185905e-10  
    19.0    4.374517e-02  -1.842883e-01    1.922972e-10    -6.242377e-10  
    20.0    3.096893e-02  -1.852395e-01    1.505199e-10    -6.270109e-10  
    21.0    1.832238e-02  -1.853730e-01    1.089846e-10    -6.269565e-10  
    22.0    5.859377e-03  -1.847056e-01    6.786796e-11    -6.241329e-10  
    23.0   -6.368127e-03  -1.832578e-01    2.734066e-11    -6.186098e-10  
    24.0   -1.831031e-02  -1.810527e-01   -1.243276e-11    -6.104677e-10  
    25.0   -2.991963e-02  -1.781165e-01   -5.129473e-11    -5.997973e-10  
    26.0   -4.115105e-02  -1.744781e-01   -8.909514e-11    -5.866989e-10  
    27.0   -5.196214e-02  -1.701688e-01   -1.256919e-10    -5.712819e-10  
    28.0   -6.231323e-02  -1.652223e-01   -1.609515e-10    -5.536638e-10  
    29.0   -7.216756e-02  -1.596742e-01   -1.947490e-10    -5.339697e-10  
    30.0   -8.149137e-02  -1.535622e-01   -2.269691e-10    -5.123317e-10  
    31.0   -9.025401e-02  -1.469256e-01   -2.575059e-10    -4.888877e-10  
    32.0   -9.842799e-02  -1.398051e-01   -2.862633e-10    -4.637811e-10  
    33.0   -1.059891e-01  -1.322428e-01   -3.131553e-10    -4.371601e-10  
    34.0   -1.129162e-01  -1.242816e-01   -3.381062e-10    -4.091763e-10  
    35.0   -1.191919e-01  -1.159654e-01   -3.610506e-10    -3.799845e-10  
    36.0   -1.248017e-01  -1.073385e-01   -3.819333e-10    -3.497418e-10  
    37.0   -1.297346e-01  -9.844584e-02   -4.007098e-10    -3.186068e-10  
