#Longitud de onda =  497  nm				Anchura de pulso =  125  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0      0.230376    -4.165137e-02    7.714241e-10    -1.402351e-10  
     1.0      0.224433    -5.592427e-02    7.545619e-10    -1.891359e-10  
     2.0      0.217611    -6.966447e-02    7.347460e-10    -2.362407e-10  
     3.0      0.209958    -8.282173e-02    7.121239e-10    -2.813724e-10  
     4.0      0.201524    -9.534946e-02    6.868528e-10    -3.243665e-10  
     5.0      0.192363    -1.072048e-01    6.590985e-10    -3.650711e-10  
     6.0      0.182529    -1.183490e-01    6.290348e-10    -4.033478e-10  
     7.0      0.172081    -1.287470e-01    5.968423e-10    -4.390718e-10  
     8.0      0.161076    -1.383682e-01    5.627075e-10    -4.721324e-10  
     9.0      0.149575    -1.471857e-01    5.268219e-10    -5.024331e-10  
    10.0      0.137640    -1.551773e-01    4.893808e-10    -5.298920e-10  
    11.0      0.125334    -1.623245e-01    4.505827e-10    -5.544416e-10  
    12.0      0.112718    -1.686134e-01    4.106280e-10    -5.760289e-10  
    13.0      0.099855    -1.740341e-01    3.697179e-10    -5.946156e-10  
    14.0      0.086809    -1.785807e-01    3.280541e-10    -6.101778e-10  
    15.0      0.073642    -1.822517e-01    2.858373e-10    -6.227058e-10  
    16.0      0.060416    -1.850492e-01    2.432662e-10    -6.322039e-10  
    17.0      0.047191    -1.869796e-01    2.005373e-10    -6.386902e-10  
    18.0      0.034026    -1.880528e-01    1.578433e-10    -6.421962e-10  
    19.0      0.020981    -1.882824e-01    1.153729e-10    -6.427662e-10  
    20.0      0.008111    -1.876857e-01    7.330960e-11    -6.404574e-10  
    21.0     -0.004529    -1.862832e-01    3.183107e-11    -6.353385e-10  
    22.0     -0.016887    -1.840985e-01   -8.891428e-12    -6.274900e-10  
    23.0     -0.028913    -1.811586e-01   -4.869375e-11    -6.170031e-10  
    24.0     -0.040559    -1.774929e-01   -8.741950e-11    -6.039793e-10  
    25.0     -0.051781    -1.731337e-01   -1.249205e-10    -5.885296e-10  
    26.0     -0.062537    -1.681156e-01   -1.610575e-10    -5.707738e-10  
    27.0     -0.072787    -1.624755e-01   -1.957004e-10    -5.508399e-10  
    28.0     -0.082496    -1.562522e-01   -2.287285e-10    -5.288632e-10  
    29.0     -0.091631    -1.494864e-01   -2.600314e-10    -5.049855e-10  
    30.0     -0.100163    -1.422203e-01   -2.895088e-10    -4.793545e-10  
    31.0     -0.108065    -1.344972e-01   -3.170708e-10    -4.521229e-10  
    32.0     -0.115316    -1.263619e-01   -3.426382e-10    -4.234475e-10  
    33.0     -0.121896    -1.178597e-01   -3.661428e-10    -3.934886e-10  
    34.0     -0.127788    -1.090368e-01   -3.875270e-10    -3.624090e-10  
    35.0     -0.132982    -9.993941e-02   -4.067440e-10    -3.303733e-10  
    36.0     -0.137468    -9.061435e-02   -4.237582e-10    -2.975469e-10  
    37.0     -0.141241    -8.110817e-02   -4.385444e-10    -2.640956e-10  
    38.0     -0.144299    -7.146722e-02   -4.510882e-10    -2.301846e-10  
    39.0     -0.146643    -6.173736e-02   -4.613856e-10    -1.959775e-10  
    40.0     -0.148278    -5.196381e-02   -4.694430e-10    -1.616362e-10  
    41.0     -0.149211    -4.219092e-02   -4.752764e-10    -1.273195e-10  
    42.0     -0.149453    -3.246200e-02   -4.789118e-10    -9.318302e-11  
    43.0     -0.149018    -2.281916e-02   -4.803843e-10    -5.937804e-11  
    44.0     -0.147922    -1.330310e-02   -4.797379e-10    -2.605125e-11  
    45.0     -0.146185    -3.952989e-03   -4.770255e-10     6.655961e-12  
    46.0     -0.143828     5.193672e-03   -4.723075e-10     3.860808e-11  
    47.0     -0.140875     1.410121e-02   -4.656523e-10     6.967594e-11  
    48.0     -0.137353     2.273589e-02   -4.571353e-10     9.973716e-11  
    49.0     -0.133290     3.106601e-02   -4.468384e-10     1.286766e-10  
    50.0     -0.128716     3.906204e-02   -4.348498e-10     1.563868e-10  
    51.0     -0.123664     4.669664e-02   -4.212629e-10     1.827682e-10  
    52.0     -0.118166     5.394480e-02   -4.061762e-10     2.077294e-10  
    53.0     -0.112257     6.078385e-02   -3.896926e-10     2.311878e-10  
    54.0     -0.105974     6.719354e-02   -3.719186e-10     2.530691e-10  
    55.0     -0.099352     7.315605e-02   -3.529641e-10     2.733081e-10  
    56.0     -0.092431     7.865604e-02   -3.329416e-10     2.918487e-10  
    57.0     -0.085248     8.368061e-02   -3.119654e-10     3.086435e-10  
    58.0     -0.077841     8.821937e-02   -2.901516e-10     3.236544e-10  
    59.0     -0.070249     9.226436e-02   -2.676170e-10     3.368523e-10  
    60.0     -0.062512     9.581006e-02   -2.444787e-10     3.482172e-10  
    61.0     -0.054667     9.885334e-02   -2.208536e-10     3.577379e-10  
    62.0     -0.046753     1.013934e-01   -1.968579e-10     3.654118e-10  
    63.0     -0.038807     1.034319e-01   -1.726065e-10     3.712453e-10  
    64.0     -0.030868     1.049724e-01   -1.482126e-10     3.752526e-10  
    65.0     -0.022970     1.060209e-01   -1.237870e-10     3.774566e-10  
    66.0     -0.015150     1.065853e-01   -9.943786e-11     3.778877e-10  
    67.0     -0.007441     1.066756e-01   -7.527035e-11     3.765838e-10  
    68.0      0.000125     1.063037e-01   -5.138599e-11     3.735902e-10  
    69.0      0.007514     1.054831e-01   -2.788241e-11     3.689589e-10  
    70.0      0.014698     1.042291e-01   -4.852993e-12     3.627483e-10  
    71.0      0.021648     1.025587e-01    1.761343e-11     3.550229e-10  
    72.0      0.028338     1.004899e-01    3.943290e-11     3.458526e-10  
    73.0      0.034742     9.804249e-02    6.052658e-11     3.353129e-10  
    74.0      0.040838     9.523716e-02    8.082095e-11     3.234834e-10  
    75.0      0.046605     9.209576e-02    1.002480e-10     3.104482e-10  
    76.0      0.052023     8.864105e-02    1.187456e-10     2.962953e-10  
    77.0      0.057076     8.489659e-02    1.362570e-10     2.811155e-10  
    78.0      0.061748     8.088663e-02    1.527318e-10     2.650028e-10  
    79.0      0.066027     7.663600e-02    1.681249e-10     2.480532e-10  
    80.0      0.069900     7.216996e-02    1.823969e-10     2.303648e-10  
    81.0      0.073360     6.751422e-02    1.955133e-10     2.120371e-10  
    82.0      0.076396     6.269493e-02    2.074430e-10     1.931712e-10  
    83.0      0.079002     5.773879e-02    2.181561e-10     1.738698e-10  
    84.0      0.081167     5.267347e-02    2.276195e-10     1.542380e-10  
    85.0      0.082876     4.752826e-02    2.357899e-10     1.343851e-10  
    86.0      0.084109     4.233533e-02    2.426020e-10     1.144277e-10  
    87.0      0.084829     3.713154e-02    2.479521e-10     9.449441e-11  
    88.0      0.084976     3.196122e-02    2.516744e-10     7.473419e-11  
    89.0      0.084460     2.687970e-02    2.535123e-10     5.532620e-11  
    90.0      0.083152     2.195753e-02    2.530865e-10     3.649304e-11  
    91.0      0.080870     1.728467e-02    2.498685e-10     1.851485e-11  
    92.0      0.077393     1.297342e-02    2.431714e-10     1.741309e-12  
    93.0      0.072462     9.158293e-03    2.321766e-10    -1.340346e-11  
    94.0      0.065829     5.990493e-03    2.160168e-10    -2.643012e-11  
    95.0      0.057303     3.624699e-03    1.939337e-10    -3.681533e-11  
    96.0      0.046842     2.196855e-03    1.655150e-10    -4.406100e-11  
    97.0      0.034644     1.793606e-03    1.309925e-10    -4.778309e-11  
    98.0      0.021229     2.417271e-03    9.154796e-11    -4.782247e-11  
    99.0      0.007488     3.954038e-03    4.953543e-11    -4.435844e-11  
   100.0     -0.005351     6.156244e-03    8.503831e-12    -3.799385e-11  
   101.0     -0.015872     8.650542e-03   -2.709451e-11    -2.977325e-11  
   102.0     -0.022721     1.098068e-02   -5.257210e-11    -2.109887e-11  
   103.0     -0.024945     1.268568e-02   -6.401108e-11    -1.352733e-11  
   104.0     -0.022336     1.340221e-02   -5.942267e-11    -8.463793e-12  
   105.0     -0.015666     1.296678e-02   -3.974044e-11    -6.812797e-12  
   106.0     -0.006692     1.148464e-02   -9.253025e-12    -8.683242e-12  
   107.0      0.002137     9.332900e-03    2.486326e-11    -1.325999e-11  
   108.0      0.008272     7.079609e-03    5.403418e-11    -1.893047e-11  
   109.0      0.009811     5.327236e-03    7.056912e-11    -2.368624e-11  
   110.0      0.006176     4.520487e-03    7.011996e-11    -2.571988e-11  
   111.0     -0.001553     4.782957e-03    5.344932e-11    -2.404017e-11  
   112.0     -0.010856     5.850569e-03    2.668057e-11    -1.887783e-11  
   113.0     -0.018564     7.144498e-03   -3.825583e-13    -1.168769e-11  
