#Longitud de onda =  476  nm				Anchura de pulso =  100  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0    5.437092e-02  -8.812662e-02    1.816502e-10    -2.955545e-10  
     1.0    4.741043e-02  -8.998188e-02    1.587229e-10    -3.033305e-10  
     2.0    4.042947e-02  -9.132990e-02    1.357314e-10    -3.093983e-10  
     3.0    3.346317e-02  -9.217951e-02    1.127948e-10    -3.137793e-10  
     4.0    2.654549e-02  -9.254185e-02    9.002822e-11    -3.165026e-10  
     5.0    1.970912e-02  -9.243023e-02    6.754254e-11    -3.176049e-10  
     6.0    1.298533e-02  -9.186006e-02    4.544370e-11    -3.171300e-10  
     7.0    6.403879e-03  -9.084863e-02    2.383240e-11    -3.151282e-10  
     8.0   -7.126912e-06  -8.941501e-02    2.803728e-12    -3.116558e-10  
     9.0   -6.221300e-03  -8.757989e-02   -1.755322e-11    -3.067750e-10  
    10.0   -1.221407e-02  -8.536540e-02   -3.715559e-11    -3.005531e-10  
    11.0   -1.796273e-02  -8.279499e-02   -5.592704e-11    -2.930619e-10  
    12.0   -2.344653e-02  -7.989320e-02   -7.379794e-11    -2.843777e-10  
    13.0   -2.864668e-02  -7.668559e-02   -9.070556e-11    -2.745799e-10  
    14.0   -3.354644e-02  -7.319848e-02   -1.065942e-10    -2.637515e-10  
    15.0   -3.813108e-02  -6.945884e-02   -1.214151e-10    -2.519778e-10  
    16.0   -4.238791e-02  -6.549414e-02   -1.351268e-10    -2.393462e-10  
    17.0   -4.630632e-02  -6.133213e-02   -1.476950e-10    -2.259457e-10  
    18.0   -4.987771e-02  -5.700074e-02   -1.590924e-10    -2.118663e-10  
    19.0   -5.309551e-02  -5.252791e-02   -1.692986e-10    -1.971985e-10  
    20.0   -5.595513e-02  -4.794142e-02   -1.783004e-10    -1.820330e-10  
    21.0   -5.845391e-02  -4.326877e-02   -1.860912e-10    -1.664600e-10  
    22.0   -6.059109e-02  -3.853705e-02   -1.926709e-10    -1.505688e-10  
    23.0   -6.236775e-02  -3.377276e-02   -1.980461e-10    -1.344476e-10  
    24.0   -6.378672e-02  -2.900175e-02   -2.022293e-10    -1.181827e-10  
    25.0   -6.485255e-02  -2.424907e-02   -2.052390e-10    -1.018585e-10  
    26.0   -6.557139e-02  -1.953885e-02   -2.070992e-10    -8.555687e-11  
    27.0   -6.595091e-02  -1.489421e-02   -2.078393e-10    -6.935693e-11  
    28.0   -6.600024e-02  -1.033720e-02   -2.074938e-10    -5.333473e-11  
    29.0   -6.572985e-02  -5.888648e-03   -2.061017e-10    -3.756293e-11  
    30.0   -6.515143e-02  -1.568152e-03   -2.037062e-10    -2.211059e-11  
