#Longitud de onda =  500  nm				Anchura de pulso =  10  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0    9.721125e-99  -6.169689e-101  -2.520655e-106   -3.999094e-107 
     1.0    4.697886e-98    6.105924e-99  -1.718534e-105   -4.327268e-106 
     2.0    3.006376e-97    7.180637e-98  -1.080326e-104   -3.923092e-105 
     3.0    1.892558e-96    6.623012e-97  -6.616805e-104   -3.196213e-104 
     4.0    1.162556e-95    5.447713e-96  -3.950251e-103   -2.428227e-103 
     5.0    6.962225e-95    4.166589e-95  -2.296031e-102   -1.752058e-102 
     6.0    4.060304e-94    3.022122e-94  -1.297000e-101   -1.213071e-101 
     7.0    2.302055e-93    2.101592e-93  -7.101946e-101   -8.110844e-101 
     8.0    1.265738e-92    1.410564e-92  -3.754808e-100   -5.259098e-100 
     9.0    6.724075e-92    9.178008e-92   -1.905104e-99    -3.316531e-99 
    10.0    3.431547e-91    5.806677e-91   -9.183101e-99    -2.038392e-98 
    11.0    1.666625e-90    3.579864e-90   -4.129341e-98    -1.222876e-97 
    12.0    7.575509e-90    2.154013e-89   -1.667475e-97    -7.168953e-97 
    13.0    3.114619e-89    1.266419e-88   -5.453734e-97    -4.110227e-96 
    14.0    1.060506e-88    7.281581e-88   -8.259348e-97    -2.306049e-95 
    15.0    1.992613e-88    4.096942e-87    7.585145e-96    -1.266585e-94 
    16.0   -1.059811e-87    2.256629e-86    1.063885e-94    -6.811726e-94 
    17.0   -1.739520e-86    1.217112e-85    9.142620e-94    -3.587218e-93 
    18.0   -1.549275e-85    6.428378e-85    6.619454e-93    -1.849616e-92 
    19.0   -1.140725e-84    3.324524e-84    4.363892e-92    -9.334482e-92 
    20.0   -7.598532e-84    1.683021e-83    2.702941e-91    -4.608365e-91 
    21.0   -4.741356e-83    8.336064e-83    1.598033e-90    -2.223773e-90 
    22.0   -2.819474e-82    4.036497e-82    9.100975e-90    -1.047600e-89 
    23.0   -1.613510e-81    1.908641e-81    5.021588e-89    -4.809583e-89 
    24.0   -8.940478e-81    8.798484e-81    2.694761e-88    -2.146521e-88 
    25.0   -4.816123e-80    3.944833e-80    1.410269e-87    -9.278262e-88 
    26.0   -2.529373e-79    1.714259e-79    7.211740e-87    -3.862128e-87 
    27.0   -1.297769e-78    7.182080e-79    3.608865e-86    -1.533881e-86 
    28.0   -6.514959e-78    2.876407e-78    1.769189e-85    -5.717904e-86 
    29.0   -3.203725e-77    1.085008e-77    8.503872e-85    -1.935281e-85 
    30.0   -1.544571e-76    3.743675e-77    4.010283e-84    -5.463311e-85 
    31.0   -7.305634e-76    1.100399e-76    1.856328e-83    -8.823287e-85 
    32.0   -3.391722e-75    2.094335e-76    8.437232e-83     3.372414e-84 
    33.0   -1.546137e-74   -3.974552e-76    3.766184e-82     4.806545e-83 
    34.0   -6.922125e-74   -7.828542e-75    1.651193e-81     3.579382e-82 
    35.0   -3.043981e-73   -6.141271e-74    7.110110e-81     2.195970e-81 
    36.0   -1.314774e-72   -3.853292e-73    3.006550e-80     1.219007e-80 
    37.0   -5.577108e-72   -2.167395e-72    1.248083e-79     6.345980e-80 
    38.0   -2.322719e-71   -1.138623e-71    5.083881e-79     3.153068e-79 
    39.0   -9.493431e-71   -5.696738e-71    2.030604e-78     1.510187e-78 
    40.0   -3.805476e-70   -2.743986e-70    7.945330e-78     7.015835e-78 
    41.0   -1.494716e-69   -1.280963e-69    3.041356e-77     3.174446e-77 
    42.0   -5.745411e-69   -5.820954e-69    1.136753e-76     1.402965e-76 
    43.0   -2.157366e-68   -2.582714e-68    4.137421e-76     6.069077e-76 
    44.0   -7.893495e-68   -1.121339e-67    1.460577e-75     2.573792e-75 
    45.0   -2.803844e-67   -4.771836e-67    4.970332e-75     1.071313e-74 
    46.0   -9.614726e-67   -1.992791e-66    1.614175e-74     4.380778e-74 
    47.0   -3.154135e-66   -8.174908e-66    4.913507e-74     1.761130e-73 
    48.0   -9.742345e-66   -3.296665e-65    1.350442e-73     6.964354e-73 
    49.0   -2.744223e-65   -1.307652e-64    3.031323e-73     2.710249e-72 
    50.0   -6.505635e-65   -5.104269e-64    3.285618e-73     1.038293e-71 
    51.0   -9.241186e-65   -1.961324e-63   -1.870548e-72     3.916662e-71 
    52.0    2.391349e-64   -7.420788e-63   -1.853254e-71     1.455003e-70 
    53.0    3.085290e-63   -2.765084e-62   -1.108356e-70     5.323472e-70 
    54.0    1.947814e-62   -1.014758e-61   -5.588089e-70     1.918249e-69 
    55.0    1.006361e-61   -3.667882e-61   -2.572157e-69     6.806952e-69 
    56.0    4.700225e-61   -1.305671e-60   -1.115941e-68     2.378236e-68 
    57.0    2.059889e-60   -4.576607e-60   -4.637309e-68     8.178639e-68 
    58.0    8.625860e-60   -1.579157e-59   -1.862869e-67     2.767208e-67 
    59.0    3.486789e-59   -5.361717e-59   -7.276348e-67     9.206098e-67 
    60.0    1.369178e-58   -1.790339e-58   -2.774288e-66     3.009031e-66 
    61.0    5.244777e-58   -5.874725e-58   -1.035351e-65     9.651891e-66 
    62.0    1.965615e-57   -1.892389e-57   -3.789588e-65     3.033711e-65 
    63.0    7.222653e-57   -5.975734e-57   -1.362444e-64     9.323915e-65 
    64.0    2.606229e-56   -1.846222e-56   -4.816939e-64     2.793732e-64 
    65.0    9.246440e-56   -5.565359e-56   -1.676266e-63     8.124888e-64 
    66.0    3.228463e-55   -1.630322e-55   -5.745751e-63     2.277867e-63 
    67.0    1.110204e-54   -4.612705e-55   -1.941028e-62     6.086796e-63 
    68.0    3.762322e-54   -1.247925e-54   -6.465436e-62     1.518220e-62 
    69.0    1.257085e-53   -3.170934e-54   -2.124243e-61     3.378803e-62 
    70.0    4.142814e-53   -7.292252e-54   -6.886146e-61     5.878245e-62 
    71.0    1.347039e-52   -1.374770e-53   -2.202977e-60     2.841146e-62 
    72.0    4.322361e-52   -1.275283e-53   -6.956241e-60    -4.112310e-61 
    73.0    1.368966e-51    5.807733e-53   -2.168280e-59    -2.849736e-60 
    74.0    4.280015e-51    4.899632e-52   -6.671955e-59    -1.366379e-59 
    75.0    1.321008e-50    2.475602e-51   -2.026677e-58    -5.674879e-59 
    76.0    4.025092e-50    1.054490e-50   -6.076886e-58    -2.175159e-58 
    77.0    1.210692e-49    4.104846e-50   -1.798399e-57    -7.905191e-58 
    78.0    3.594429e-49    1.508075e-49   -5.251840e-57    -2.762692e-57 
    79.0    1.053136e-48    5.314174e-49   -1.512975e-56    -9.361506e-57 
    80.0    3.044266e-48    1.812861e-48   -4.298099e-56    -3.092062e-56 
    81.0    8.678929e-48    6.021993e-48   -1.203424e-55    -9.990745e-56 
