#Longitud de onda =  427  nm				Anchura de pulso =  50  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0   -1.144694e-04   1.764716e-05   -3.823706e-13     6.254339e-14  
     1.0   -1.058528e-04   2.418614e-05   -3.542036e-13     8.801743e-14  
     2.0   -9.724090e-05   2.965941e-05   -3.261190e-13     1.099036e-13  
     3.0   -8.870843e-05   3.413585e-05   -2.983982e-13     1.284144e-13  
     4.0   -8.032027e-05   3.768653e-05   -2.712894e-13     1.437691e-13  
     5.0   -7.213195e-05   4.038385e-05   -2.450082e-13     1.561901e-13  
     6.0   -6.419016e-05   4.230077e-05   -2.197395e-13     1.659009e-13  
     7.0   -5.653332e-05   4.351009e-05   -1.956387e-13     1.731226e-13  
     8.0   -4.919218e-05   4.408382e-05   -1.728334e-13     1.780726e-13  
     9.0   -4.219037e-05   4.409268e-05   -1.514255e-13     1.809619e-13  
    10.0   -3.554508e-05   4.360562e-05   -1.314923e-13     1.819938e-13  
    11.0   -2.926763e-05   4.268939e-05   -1.130887e-13     1.813627e-13  
    12.0   -2.336413e-05   4.140824e-05   -9.624885e-14     1.792524e-13  
    13.0   -1.783608e-05   3.982366e-05   -8.098782e-14     1.758355e-13  
    14.0   -1.268096e-05   3.799414e-05   -6.730334e-14     1.712730e-13  
    15.0   -7.892856e-06   3.597502e-05   -5.517741e-14     1.657133e-13  
    16.0   -3.462996e-06   3.381835e-05   -4.457786e-14     1.592923e-13  
    17.0    6.197021e-07   3.157287e-05   -3.545985e-14     1.521333e-13  
    18.0    4.368107e-06   2.928387e-05   -2.776730e-14     1.443467e-13  
    19.0    7.796391e-06   2.699329e-05   -2.143419e-14     1.360311e-13  
    20.0    1.091957e-05   2.473965e-05   -1.638580e-14     1.272728e-13  
    21.0    1.375310e-05   2.255812e-05   -1.253990e-14     1.181469e-13  
    22.0    1.631244e-05   2.048054e-05   -9.807763e-15     1.087175e-13  
    23.0    1.861276e-05   1.853553e-05   -8.095203e-15     9.903892e-14  
    24.0    2.066858e-05   1.674853e-05   -7.303431e-15     8.915610e-14  
    25.0    2.249351e-05   1.514187e-05   -7.329900e-15     7.910567e-14  
    26.0    2.409998e-05   1.373487e-05   -8.069054e-15     6.891684e-14  
    27.0    2.549907e-05   1.254392e-05   -9.413016e-15     5.861242e-14  
    28.0    2.670029e-05   1.158253e-05   -1.125222e-14     4.820981e-14  
    29.0    2.771148e-05   1.086142e-05   -1.347601e-14     3.772209e-14  
    30.0    2.853869e-05   1.038861e-05   -1.597314e-14     2.715904e-14  
    31.0    2.918611e-05   1.016943e-05   -1.863232e-14     1.652821e-14  
    32.0    2.965604e-05   1.020661e-05   -2.134270e-14     5.836029e-15  
    33.0    2.994889e-05   1.050031e-05   -2.399430e-14    -4.911218e-15  
    34.0    3.006321e-05   1.104815e-05   -2.647853e-14    -1.570633e-14  
    35.0    2.999577e-05   1.184526e-05   -2.868858e-14    -2.654020e-14  
    36.0    2.974160e-05   1.288427e-05   -3.051993e-14    -3.740091e-14  
    37.0    2.929417e-05   1.415534e-05   -3.187080e-14    -4.827277e-14  
    38.0    2.864553e-05   1.564619e-05   -3.264268e-14    -5.913554e-14  
    39.0    2.778643e-05   1.734207e-05   -3.274080e-14    -6.996363e-14  
    40.0    2.670663e-05   1.922578e-05   -3.207476e-14    -8.072538e-14  
    41.0    2.539500e-05   2.127770e-05   -3.055900e-14    -9.138248e-14  
    42.0    2.383989e-05   2.347575e-05   -2.811353e-14    -1.018894e-13  
    43.0    2.202932e-05   2.579544e-05   -2.466450e-14    -1.121930e-13  
    44.0    1.995129e-05   2.820991e-05   -2.014494e-14    -1.222321e-13  
    45.0    1.759412e-05   3.068990e-05   -1.449546e-14    -1.319373e-13  
    46.0    1.494672e-05   3.320386e-05   -7.665018e-15    -1.412310e-13  
    47.0    1.199899e-05   3.571795e-05    3.883060e-16    -1.500271e-13  
    48.0    8.742111e-06   3.819617e-05    9.696476e-15    -1.582313e-13  
    49.0    5.168918e-06   4.060046e-05    2.028068e-14    -1.657416e-13  
    50.0    1.274279e-06   4.289077e-05    3.215048e-14    -1.724481e-13  
    51.0   -2.944559e-06   4.502528e-05    4.530296e-14    -1.782340e-13  
    52.0   -7.487603e-06   4.696051e-05    5.972191e-14    -1.829763e-13  
    53.0   -1.235176e-05   4.865160e-05    7.537694e-14    -1.865461e-13  
    54.0   -1.753048e-05   5.005248e-05    9.222275e-14    -1.888101e-13  
    55.0   -2.301343e-05   5.111620e-05    1.101983e-13    -1.896315e-13  
    56.0   -2.878615e-05   5.179523e-05    1.292262e-13    -1.888711e-13  
    57.0   -3.482978e-05   5.204177e-05    1.492119e-13    -1.863888e-13  
    58.0   -4.112077e-05   5.180816e-05    1.700434e-13    -1.820453e-13  
    59.0   -4.763064e-05   5.104731e-05    1.915906e-13    -1.757032e-13  
    60.0   -5.432572e-05   4.971311e-05    2.137049e-13    -1.672294e-13  
    61.0   -6.116705e-05   4.776096e-05    2.362193e-13    -1.564964e-13  
    62.0   -6.811021e-05   4.514828e-05    2.589479e-13    -1.433849e-13  
    63.0   -7.510520e-05   4.183504e-05    2.816866e-13    -1.277852e-13  
    64.0   -8.209647e-05   3.778435e-05    3.042125e-13    -1.096000e-13  
    65.0   -8.902292e-05   3.296308e-05    3.262854e-13    -8.874606e-14  
    66.0   -9.581795e-05   2.734247e-05    3.476478e-13    -6.515688e-14  
    67.0   -1.024097e-04   2.089875e-05    3.680259e-13    -3.878477e-14  
    68.0   -1.087210e-04   1.361385e-05    3.871309e-13    -9.603230e-15  
    69.0   -1.146703e-04   5.476003e-06    4.046603e-13     2.239078e-14  
    70.0   -1.201711e-04  -3.519586e-06    4.202996e-13     5.717460e-14  
    71.0   -1.251333e-04  -1.337007e-05    4.337239e-13     9.469770e-14  
    72.0   -1.294630e-04  -2.406435e-05    4.446005e-13     1.348796e-13  
    73.0   -1.330637e-04  -3.558246e-05    4.525910e-13     1.776079e-13  
