#Longitud de onda =  581  nm				Anchura de pulso =  50  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0   -9.784268e-05   6.224906e-05   -3.248921e-13     2.098701e-13  
     1.0   -8.869193e-05   6.320064e-05   -2.929086e-13     2.152833e-13  
     2.0   -8.003583e-05   6.356183e-05   -2.626076e-13     2.187461e-13  
     3.0   -7.187567e-05   6.339401e-05   -2.340096e-13     2.204724e-13  
     4.0   -6.420888e-05   6.275519e-05   -2.071224e-13     2.206646e-13  
     5.0   -5.702940e-05   6.170000e-05   -1.819426e-13     2.195131e-13  
     6.0   -5.032810e-05   6.027972e-05   -1.584566e-13     2.171965e-13  
     7.0   -4.409316e-05   5.854224e-05   -1.366420e-13     2.138817e-13  
     8.0   -3.831042e-05   5.653221e-05   -1.164689e-13     2.097234e-13  
     9.0   -3.296368e-05   5.429104e-05   -9.790113e-14     2.048647e-13  
    10.0   -2.803507e-05   5.185701e-05   -8.089698e-14     1.994373e-13  
    11.0   -2.350531e-05   4.926543e-05   -6.541042e-14     1.935614e-13  
    12.0   -1.935396e-05   4.654868e-05   -5.139194e-14     1.873463e-13  
    13.0   -1.555970e-05   4.373641e-05   -3.878933e-14     1.808904e-13  
    14.0   -1.210055e-05   4.085564e-05   -2.754843e-14     1.742820e-13  
    15.0   -8.954085e-06   3.793093e-05   -1.761381e-14     1.675992e-13  
    16.0   -6.097609e-06   3.498453e-05   -8.929356e-15     1.609105e-13  
    17.0   -3.508356e-06   3.203652e-05   -1.438776e-15     1.542752e-13  
    18.0   -1.163638e-06   2.910500e-05    4.913930e-15     1.477440e-13  
    19.0    9.590106e-07   2.620621e-05    1.018409e-14     1.413589e-13  
    20.0    2.881700e-06   2.335473e-05    1.442603e-14     1.351541e-13  
    21.0    4.626069e-06   2.056359e-05    1.769282e-14     1.291564e-13  
    22.0    6.213177e-06   1.784448e-05    2.003605e-14     1.233853e-13  
    23.0    7.663414e-06   1.520784e-05    2.150570e-14     1.178537e-13  
    24.0    8.996415e-06   1.266304e-05    2.214999e-14     1.125682e-13  
    25.0    1.023098e-05   1.021853e-05    2.201537e-14     1.075294e-13  
    26.0    1.138502e-05   7.881930e-06    2.114648e-14     1.027325e-13  
    27.0    1.247549e-05   5.660193e-06    1.958616e-14     9.816763e-14  
    28.0    1.351832e-05   3.559704e-06    1.737556e-14     9.382011e-14  
    29.0    1.452841e-05   1.586401e-06    1.455420e-14     8.967087e-14  
    30.0    1.551955e-05  -2.541327e-07    1.116011e-14     8.569684e-14  
    31.0    1.650438e-05  -1.956569e-06    7.229964e-15     8.187123e-14  
    32.0    1.749441e-05  -3.515755e-06    2.799306e-15     7.816393e-14  
    33.0    1.849990e-05  -4.926635e-06   -2.097285e-15     7.454180e-14  
    34.0    1.952992e-05  -6.184192e-06   -7.425963e-15     7.096901e-14  
    35.0    2.059228e-05  -7.283384e-06   -1.315338e-14     6.740734e-14  
    36.0    2.169350e-05  -8.219107e-06   -1.924642e-14     6.381649e-14  
    37.0    2.283881e-05  -8.986155e-06   -2.567198e-14     6.015444e-14  
    38.0    2.403210e-05  -9.579196e-06   -3.239666e-14     5.637770e-14  
    39.0    2.527595e-05  -9.992758e-06   -3.938652e-14     5.244163e-14  
    40.0    2.657155e-05  -1.022122e-05   -4.660681e-14     4.830080e-14  
    41.0    2.791873e-05  -1.025883e-05   -5.402165e-14     4.390923e-14  
    42.0    2.931592e-05  -1.009970e-05   -6.159386e-14     3.922076e-14  
    43.0    3.076015e-05  -9.737846e-06   -6.928460e-14     3.418938e-14  
    44.0    3.224702e-05  -9.167220e-06   -7.705319e-14     2.876949e-14  
    45.0    3.377072e-05  -8.381752e-06   -8.485683e-14     2.291632e-14  
    46.0    3.532398e-05  -7.375405e-06   -9.265043e-14     1.658623e-14  
    47.0    3.689810e-05  -6.142237e-06   -1.003863e-13     9.737066e-15  
    48.0    3.848292e-05  -4.676477e-06   -1.080142e-13     2.328529e-15  
    49.0    4.006686e-05  -2.972598e-06   -1.154808e-13    -5.677448e-15  
    50.0    4.163689e-05  -1.025415e-06   -1.227298e-13    -1.431633e-14  
    51.0    4.317855e-05   1.169828e-06   -1.297021e-13    -2.362057e-14  
    52.0    4.467599e-05   3.617345e-06   -1.363349e-13    -3.361923e-14  
    53.0    4.611194e-05   6.320705e-06   -1.425624e-13    -4.433754e-14  
    54.0    4.746781e-05   9.282711e-06   -1.483158e-13    -5.579653e-14  
    55.0    4.872366e-05   1.250528e-05   -1.535226e-13    -6.801254e-14  
    56.0    4.985828e-05   1.598930e-05   -1.581075e-13    -8.099685e-14  
    57.0    5.084926e-05   1.973453e-05   -1.619920e-13    -9.475519e-14  
    58.0    5.167301e-05   2.373945e-05   -1.650948e-13    -1.092874e-13  
    59.0    5.230485e-05   2.800108e-05   -1.673318e-13    -1.245867e-13  
    60.0    5.271911e-05   3.251493e-05   -1.686165e-13    -1.406399e-13  
    61.0    5.288922e-05   3.727477e-05   -1.688602e-13    -1.574262e-13  
    62.0    5.278779e-05   4.227255e-05   -1.679725e-13    -1.749172e-13  
    63.0    5.238677e-05   4.749822e-05   -1.658615e-13    -1.930766e-13  
    64.0    5.165756e-05   5.293964e-05   -1.624344e-13    -2.118594e-13  
    65.0    5.057114e-05   5.858240e-05   -1.575978e-13    -2.312118e-13  
    66.0    4.909826e-05   6.440971e-05   -1.512584e-13    -2.510710e-13  
    67.0    4.720960e-05   7.040230e-05   -1.433237e-13    -2.713646e-13  
    68.0    4.487596e-05   7.653828e-05   -1.337024e-13    -2.920103e-13  
    69.0    4.206845e-05   8.279305e-05   -1.223054e-13    -3.129159e-13  
    70.0    3.875870e-05   8.913920e-05   -1.090461e-13    -3.339789e-13  
    71.0    3.491911e-05   9.554643e-05   -9.384182e-14    -3.550864e-13  
    72.0    3.052308e-05   1.019815e-04   -7.661403e-14    -3.761150e-13  
    73.0    2.554524e-05   1.084081e-04   -5.728968e-14    -3.969307e-13  
    74.0    1.996176e-05   1.147870e-04   -3.580193e-14    -4.173891e-13  
    75.0    1.375059e-05   1.210758e-04   -1.209114e-14    -4.373351e-13  
    76.0    6.891763e-06   1.272291e-04    1.389411e-14    -4.566035e-13  
    77.0   -6.323218e-07   1.331984e-04    4.219601e-14    -4.750189e-13  
    78.0   -8.836576e-06   1.389324e-04    7.284649e-14    -4.923961e-13  
    79.0   -1.773292e-05   1.443767e-04    1.058661e-13    -5.085406e-13  
    80.0   -2.732998e-05   1.494742e-04    1.412631e-13    -5.232489e-13  
    81.0   -3.763273e-05   1.541651e-04    1.790320e-13    -5.363093e-13  
    82.0   -4.864221e-05   1.583869e-04    2.191531e-13    -5.475024e-13  
    83.0   -6.035520e-05   1.620751e-04    2.615908e-13    -5.566019e-13  
