#Longitud de onda =  700  nm				Anchura de pulso =  100  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0    6.084503e-02  -8.393766e-02    2.029905e-10    -2.807848e-10  
     1.0    5.597633e-02  -8.521571e-02    1.867847e-10    -2.858450e-10  
     2.0    5.112127e-02  -8.624304e-02    1.706266e-10    -2.900653e-10  
     3.0    4.629152e-02  -8.702463e-02    1.545562e-10    -2.934604e-10  
     4.0    4.149829e-02  -8.756594e-02    1.386118e-10    -2.960469e-10  
     5.0    3.675240e-02  -8.787294e-02    1.228307e-10    -2.978429e-10  
     6.0    3.206419e-02  -8.795202e-02    1.072484e-10    -2.988678e-10  
     7.0    2.744354e-02  -8.780999e-02    9.189873e-11    -2.991427e-10  
     8.0    2.289987e-02  -8.745403e-02    7.681408e-11    -2.986899e-10  
     9.0    1.844209e-02  -8.689170e-02    6.202512e-11    -2.975327e-10  
    10.0    1.407863e-02  -8.613085e-02    4.756079e-11    -2.956957e-10  
    11.0    9.817404e-03  -8.517964e-02    3.344831e-11    -2.932045e-10  
    12.0    5.665825e-03  -8.404649e-02    1.971317e-11    -2.900855e-10  
    13.0    1.630788e-03  -8.274003e-02    6.379044e-12    -2.863660e-10  
    14.0   -2.281328e-03  -8.126913e-02   -6.532143e-12    -2.820740e-10  
    15.0   -6.064661e-03  -7.964278e-02   -1.900028e-11    -2.772379e-10  
    16.0   -9.713869e-03  -7.787015e-02   -3.100703e-11    -2.718868e-10  
    17.0   -1.322412e-02  -7.596050e-02   -4.253587e-11    -2.660502e-10  
    18.0   -1.659111e-02  -7.392317e-02   -5.357206e-11    -2.597580e-10  
    19.0   -1.981101e-02  -7.176757e-02   -6.410262e-11    -2.530400e-10  
    20.0   -2.288053e-02  -6.950313e-02   -7.411632e-11    -2.459266e-10  
    21.0   -2.579686e-02  -6.713928e-02   -8.360368e-11    -2.384479e-10  
    22.0   -2.855766e-02  -6.468542e-02   -9.255691e-11    -2.306342e-10  
    23.0   -3.116109e-02  -6.215091e-02   -1.009699e-10    -2.225154e-10  
    24.0   -3.360578e-02  -5.954502e-02   -1.088382e-10    -2.141217e-10  
    25.0   -3.589078e-02  -5.687695e-02   -1.161590e-10    -2.054825e-10  
    26.0   -3.801563e-02  -5.415575e-02   -1.229310e-10    -1.966272e-10  
    27.0   -3.998026e-02  -5.139034e-02   -1.291543e-10    -1.875848e-10  
    28.0   -4.178503e-02  -4.858950e-02   -1.348308e-10    -1.783837e-10  
    29.0   -4.343072e-02  -4.576180e-02   -1.399635e-10    -1.690519e-10  
    30.0   -4.491847e-02  -4.291562e-02   -1.445571e-10    -1.596166e-10  
    31.0   -4.624979e-02  -4.005913e-02   -1.486172e-10    -1.501047e-10  
    32.0   -4.742655e-02  -3.720028e-02   -1.521509e-10    -1.405421e-10  
    33.0   -4.845097e-02  -3.434674e-02   -1.551667e-10    -1.309540e-10  
    34.0   -4.932557e-02  -3.150596e-02   -1.576740e-10    -1.213652e-10  
    35.0   -5.005318e-02  -2.868509e-02   -1.596831e-10    -1.117991e-10  
    36.0   -5.063690e-02  -2.589100e-02   -1.612059e-10    -1.022787e-10  
    37.0   -5.108011e-02  -2.313028e-02   -1.622546e-10    -9.282588e-11  
    38.0   -5.138643e-02  -2.040921e-02   -1.628428e-10    -8.346168e-11  
    39.0   -5.155972e-02  -1.773376e-02   -1.629846e-10    -7.420620e-11  
    40.0   -5.160403e-02  -1.510957e-02   -1.626952e-10    -6.507854e-11  
    41.0   -5.152362e-02  -1.254198e-02   -1.619900e-10    -5.609686e-11  
    42.0   -5.132290e-02  -1.003598e-02   -1.608856e-10    -4.727828e-11  
    43.0   -5.100647e-02  -7.596240e-03   -1.593988e-10    -3.863895e-11  
    44.0   -5.057904e-02  -5.227089e-03   -1.575470e-10    -3.019398e-11  
    45.0   -5.004545e-02  -2.932525e-03   -1.553480e-10    -2.195746e-11  
    46.0   -4.941063e-02  -7.162061e-04   -1.528200e-10    -1.394246e-11  
    47.0   -4.867962e-02   1.418545e-03   -1.499817e-10    -6.161030e-12  
    48.0   -4.785751e-02   3.468740e-03   -1.468517e-10     1.375797e-12  
    49.0   -4.694944e-02   5.431725e-03   -1.434490e-10     8.658006e-12  
    50.0   -4.596060e-02   7.305177e-03   -1.397928e-10     1.567658e-11  
    51.0   -4.489619e-02   9.087096e-03   -1.359023e-10     2.242350e-11  
    52.0   -4.376141e-02   1.077581e-02   -1.317965e-10     2.889172e-11  
    53.0   -4.256148e-02   1.236995e-02   -1.274948e-10     3.507514e-11  
    54.0   -4.130157e-02   1.386847e-02   -1.230161e-10     4.096861e-11  
    55.0   -3.998682e-02   1.527062e-02   -1.183794e-10     4.656791e-11  
    56.0   -3.862232e-02   1.657595e-02   -1.136034e-10     5.186970e-11  
    57.0   -3.721311e-02   1.778430e-02   -1.087067e-10     5.687152e-11  
    58.0   -3.576416e-02   1.889578e-02   -1.037074e-10     6.157175e-11  
    59.0   -3.428034e-02   1.991078e-02   -9.862359e-11     6.596961e-11  
    60.0   -3.276645e-02   2.082993e-02   -9.347265e-11     7.006507e-11  
    61.0   -3.122716e-02   2.165414e-02   -8.827178e-11     7.385890e-11  
    62.0   -2.966706e-02   2.238454e-02   -8.303767e-11     7.735257e-11  
    63.0   -2.809060e-02   2.302250e-02   -7.778655e-11     8.054826e-11  
    64.0   -2.650211e-02   2.356959e-02   -7.253416e-11     8.344882e-11  
    65.0   -2.490578e-02   2.402760e-02   -6.729570e-11     8.605770e-11  
    66.0   -2.330568e-02   2.439853e-02   -6.208579e-11     8.837899e-11  
    67.0   -2.170572e-02   2.468453e-02   -5.691851e-11     9.041731e-11  
    68.0   -2.010966e-02   2.488794e-02   -5.180731e-11     9.217781e-11  
    69.0   -1.852112e-02   2.501127e-02   -4.676501e-11     9.366615e-11  
    70.0   -1.694353e-02   2.505715e-02   -4.180383e-11     9.488842e-11  
    71.0   -1.538020e-02   2.502837e-02   -3.693528e-11     9.585116e-11  
    72.0   -1.383426e-02   2.492782e-02   -3.217025e-11     9.656128e-11  
    73.0   -1.230866e-02   2.475853e-02   -2.751894e-11     9.702606e-11  
    74.0   -1.080621e-02   2.452360e-02   -2.299085e-11     9.725308e-11  
    75.0   -9.329545e-03   2.422624e-02   -1.859481e-11     9.725023e-11  
    76.0   -7.881129e-03   2.386970e-02   -1.433895e-11     9.702561e-11  
    77.0   -6.463269e-03   2.345733e-02   -1.023071e-11     9.658759e-11  
    78.0   -5.078112e-03   2.299249e-02   -6.276862e-12     9.594466e-11  
    79.0   -3.727660e-03   2.247858e-02   -2.483524e-12     9.510544e-11  
    80.0   -2.413793e-03   2.191899e-02    1.143783e-12     9.407860e-11  
    81.0   -1.138311e-03   2.131702e-02    4.600014e-12     9.287267e-11  
    82.0    9.697330e-05   2.067583e-02    7.880382e-12     9.149582e-11  
    83.0    1.290080e-03   1.999820e-02    1.097995e-11     8.995540e-11  
    84.0    2.438582e-03   1.928632e-02    1.389290e-11     8.825721e-11  
    85.0    3.539152e-03   1.854125e-02    1.661133e-11     8.640419e-11  
    86.0    4.586843e-03   1.776223e-02    1.912324e-11     8.439448e-11  
    87.0    5.574050e-03   1.694567e-02    2.140966e-11     8.221848e-11  
    88.0    6.489096e-03   1.608375e-02    2.344050e-11     7.985488e-11  
    89.0    7.314516e-03   1.516291e-02    2.516932e-11     7.726577e-11  
    90.0    8.025249e-03   1.416227e-02    2.652737e-11     7.439145e-11  
    91.0    8.587207e-03   1.305275e-02    2.741807e-11     7.114621e-11  
    92.0    8.956991e-03   1.179752e-02    2.771412e-11     6.741753e-11  
    93.0    9.083787e-03   1.035496e-02    2.725996e-11     6.307165e-11  
    94.0    8.914555e-03   8.685138e-03    2.588356e-11     5.796927e-11  
    95.0    8.403373e-03   6.760406e-03    2.342064e-11     5.199409e-11  
    96.0    7.524965e-03   4.579856e-03    1.975307e-11     4.509496e-11  
    97.0    6.291011e-03   2.185549e-03    1.485915e-11     3.733767e-11  
    98.0    4.765919e-03  -3.234322e-04    8.868036e-12     2.895641e-11  
    99.0    3.076903e-03  -2.784856e-03    2.103991e-12     2.038868e-11  
   100.0    1.412135e-03  -4.981567e-03   -4.898703e-12     1.227290e-11  
   101.0    1.584610e-06  -6.668906e-03   -1.143006e-11     5.389419e-12  
   102.0   -9.214766e-04  -7.621816e-03   -1.670090e-11     5.354116e-13  
   103.0   -1.174305e-03  -7.695169e-03   -1.999879e-11    -1.656861e-12  
   104.0   -6.824474e-04  -6.882899e-03   -2.087796e-11    -9.237258e-13  
   105.0    4.763179e-04  -5.355594e-03   -1.933397e-11     2.463049e-12  
   106.0    2.061552e-03  -3.455896e-03   -1.589954e-11     7.636276e-12  
   107.0    3.707608e-03  -1.639107e-03   -1.160233e-11     1.323802e-11  
   108.0    5.009927e-03  -3.630743e-04   -7.757222e-12     1.770548e-11  
   109.0    5.642395e-03   4.741008e-05   -5.619534e-12     1.969013e-11  
   110.0    5.470225e-03  -4.816546e-04   -5.988899e-12     1.849469e-11  
   111.0    4.614657e-03  -1.722270e-03   -8.899017e-12     1.437001e-11  
   112.0    3.434182e-03  -3.194198e-03   -1.353047e-11     8.527285e-12  
   113.0    2.413488e-03  -4.316389e-03   -1.842594e-11     2.800689e-12  
   114.0    1.988888e-03  -4.617458e-03   -2.197812e-11    -9.726697e-13  
   115.0    2.372824e-03  -3.927640e-03   -2.303664e-11    -1.652145e-12  
   116.0    3.452689e-03  -2.467315e-03   -2.139685e-11     7.081810e-13  
   117.0    4.819008e-03  -7.783444e-04   -1.794163e-11     4.807125e-12  
   118.0    5.927226e-03   4.919918e-04   -1.432605e-11     8.575210e-12  
   119.0    6.334504e-03   8.733756e-04   -1.229043e-11     1.003673e-11  
   120.0    5.907988e-03   2.957601e-04   -1.287799e-11     8.201690e-12  
   121.0    4.900686e-03  -8.603953e-04   -1.591910e-11     3.568106e-12  
   122.0    3.844298e-03  -1.929200e-03   -2.006073e-11    -2.049819e-12  
   123.0    3.296084e-03  -2.277059e-03   -2.337901e-11    -6.348491e-12  
   124.0    3.557412e-03  -1.623532e-03   -2.431663e-11    -7.658949e-12  
   125.0    4.509430e-03  -1.977052e-04   -2.248765e-11    -5.814072e-12  
   126.0    5.662825e-03   1.366230e-03   -1.891455e-11    -2.282290e-12  
   127.0    6.410219e-03   2.356824e-03   -1.552749e-11     5.599429e-13  
   128.0    6.355458e-03   2.371313e-03   -1.414670e-11     6.828551e-13  
   129.0    5.539517e-03   1.546901e-03   -1.547849e-11    -2.473862e-12  
   130.0    4.427503e-03   4.958437e-04   -1.869260e-11    -7.650859e-12  
   131.0    3.650292e-03  -3.566026e-05   -2.185831e-11    -1.243909e-11  
   132.0    3.639256e-03   4.000377e-04   -2.303483e-11    -1.464030e-11  
   133.0    4.366488e-03   1.680906e-03   -2.140813e-11    -1.355496e-11  
   134.0    5.353023e-03   3.177374e-03   -1.779643e-11    -1.042499e-11  
   135.0    5.952814e-03   4.125838e-03   -1.418669e-11    -7.721122e-12  
   136.0    5.748817e-03   4.096527e-03   -1.254128e-11    -7.656977e-12  
   137.0    4.817271e-03   3.266505e-03   -1.358390e-11    -1.081681e-11  
   138.0    3.686771e-03   2.316511e-03   -1.632769e-11    -1.576353e-11  
   139.0    3.006371e-03   2.002761e-03   -1.867590e-11    -1.991633e-11  
   140.0    3.127270e-03   2.669021e-03   -1.875056e-11    -2.118416e-11  
   141.0    3.869524e-03   4.016517e-03   -1.611238e-11    -1.932296e-11  
   142.0    4.634838e-03   5.293022e-03   -1.206640e-11    -1.611640e-11  
   143.0    4.801388e-03   5.788698e-03   -8.819717e-12    -1.422003e-11  
   144.0    4.142794e-03   5.313841e-03   -8.017837e-12    -1.539795e-11  
   145.0    2.986235e-03   4.332577e-03   -9.630050e-12    -1.932387e-11  
   146.0    1.993323e-03   3.650517e-03   -1.195479e-11    -2.378051e-11  
   147.0    1.705254e-03   3.860329e-03   -1.277351e-11    -2.616088e-11  
   148.0    2.164197e-03   4.926189e-03   -1.088375e-11    -2.526666e-11  
   149.0    2.879936e-03   6.203538e-03   -6.948578e-12    -2.215451e-11  
   150.0    3.174019e-03   6.890942e-03   -3.045717e-12    -1.940931e-11  
   151.0    2.663865e-03   6.601062e-03   -1.205090e-12    -1.932191e-11  
   152.0    1.540707e-03   5.641868e-03   -1.958562e-12    -2.224928e-11  
   153.0    4.348672e-04   4.797522e-03   -3.948455e-12    -2.634329e-11  
   154.0   -4.177209e-05   4.758496e-03   -4.902309e-12    -2.887493e-11  
   155.0    2.544159e-04   5.613221e-03   -3.289311e-12    -2.821963e-11  
   156.0    8.903998e-04   6.779134e-03    5.478308e-13    -2.505621e-11  
   157.0    1.176820e-03   7.432863e-03    4.634786e-12    -2.187597e-11  
   158.0    6.842883e-04   7.125888e-03    6.826449e-12    -2.113624e-11  
   159.0   -4.309491e-04   6.124193e-03    6.412213e-12    -2.341849e-11  
   160.0   -1.542642e-03   5.209363e-03    4.656109e-12    -2.698098e-11  
   161.0   -2.030249e-03   5.084204e-03    3.843831e-12    -2.906864e-11  
   162.0   -1.754807e-03   5.833139e-03    5.540466e-12    -2.800914e-11  
   163.0   -1.167285e-03   6.854815e-03    9.384708e-12    -2.449867e-11  
   164.0   -9.599544e-04   7.326143e-03    1.335858e-11    -2.107307e-11  
   165.0   -1.526523e-03   6.843217e-03    1.534462e-11    -2.014833e-11  
   166.0   -2.652049e-03   5.738949e-03    1.477368e-11    -2.213800e-11  
   167.0   -3.680098e-03   4.822898e-03    1.307265e-11    -2.512367e-11  
   168.0   -4.030735e-03   4.741966e-03    1.254377e-11    -2.635835e-11  
   169.0   -3.661343e-03   5.465870e-03    1.454314e-11    -2.443633e-11  
   170.0   -3.101173e-03   6.310004e-03    1.839830e-11    -2.041316e-11  
   171.0   -3.027073e-03   6.483457e-03    2.193832e-11    -1.696915e-11  
   172.0   -3.717565e-03   5.726188e-03    2.322912e-11    -1.626504e-11  
   173.0   -4.826155e-03   4.520478e-03    2.212898e-11    -1.820264e-11  
   174.0   -5.661486e-03   3.700430e-03    2.040341e-11    -2.050140e-11  
   175.0   -5.750548e-03   3.772271e-03    2.029172e-11    -2.054740e-11  
   176.0   -5.225939e-03   4.499652e-03    2.267921e-11    -1.752442e-11  
   177.0   -4.716851e-03   5.097514e-03    2.636846e-11    -1.308535e-11  
   178.0   -4.829468e-03   4.879853e-03    2.905865e-11    -9.998670e-12  
   179.0   -5.644048e-03   3.828477e-03    2.924009e-11    -9.868526e-12  
   180.0   -6.647294e-03   2.609015e-03    2.744240e-11    -1.180798e-11  
   181.0   -7.159958e-03   2.016413e-03    2.579366e-11    -1.317575e-11  
   182.0   -6.905208e-03   2.309906e-03    2.624481e-11    -1.177860e-11  
   183.0   -6.240964e-03   2.995543e-03    2.893507e-11    -7.708113e-12  
   184.0   -5.857830e-03   3.242861e-03    3.207247e-11    -3.267038e-12  
   185.0   -6.194519e-03   2.587657e-03    3.344077e-11    -1.033416e-12  
   186.0   -7.065151e-03   1.326412e-03    3.227046e-11    -1.685383e-12  
   187.0   -7.817147e-03   2.645972e-04    2.988957e-11    -3.428881e-12  
   188.0   -7.888176e-03   2.971765e-05    2.859286e-11    -3.525360e-12  
   189.0   -7.287447e-03   5.347531e-04    2.968303e-11    -6.296974e-13  
   190.0   -6.587384e-03   1.053725e-03    3.235514e-11     4.056714e-12  
   191.0   -6.430117e-03   8.477578e-04    3.438663e-11     7.813973e-12  
   192.0   -6.972568e-03  -1.961484e-04    3.404913e-11     8.740636e-12  
   193.0   -7.750606e-03  -1.466842e-03    3.159879e-11     7.390459e-12  
   194.0   -8.082392e-03  -2.159348e-03    2.905305e-11     6.289117e-12  
   195.0   -7.662218e-03  -1.975068e-03    2.843891e-11     7.739356e-12  
   196.0   -6.827122e-03  -1.381335e-03    3.002932e-11     1.181527e-11  
   197.0   -6.261376e-03  -1.201141e-03    3.210605e-11     1.629575e-11  
   198.0   -6.395761e-03  -1.890085e-03    3.246345e-11     1.860415e-11  
   199.0   -7.028903e-03  -3.135253e-03    3.034229e-11     1.806310e-11  
   200.0   -7.505540e-03  -4.131015e-03    2.709596e-11     1.648451e-11  
   201.0   -7.296299e-03  -4.290669e-03    2.499708e-11     1.656844e-11  
   202.0   -6.466753e-03  -3.765130e-03    2.523081e-11     1.951558e-11  
   203.0   -5.618783e-03  -3.307437e-03    2.684799e-11     2.396301e-11  
   204.0   -5.354601e-03  -3.601344e-03    2.761025e-11     2.719194e-11  
   205.0   -5.739935e-03  -4.650974e-03    2.598239e-11     2.754202e-11  
   206.0   -6.246278e-03  -5.777254e-03    2.250061e-11     2.588564e-11  
   207.0   -6.225417e-03  -6.226199e-03    1.929297e-11     2.484296e-11  
   208.0   -5.491840e-03  -5.844971e-03    1.817518e-11     2.643286e-11  
   209.0   -4.489429e-03  -5.217864e-03    1.902504e-11     3.026080e-11  
   210.0   -3.891036e-03  -5.138190e-03    1.989685e-11     3.387329e-11  
   211.0   -3.991092e-03  -5.891157e-03    1.877762e-11     3.496571e-11  
   212.0   -4.440321e-03  -6.996025e-03    1.540530e-11     3.345753e-11  
   213.0   -4.563904e-03  -7.642390e-03    1.150568e-11     3.155912e-11  
   214.0   -3.975467e-03  -7.426026e-03    9.229631e-12     3.176474e-11  
   215.0   -2.928832e-03  -6.715492e-03    9.204218e-12     3.458733e-11  
   216.0   -2.086307e-03  -6.314566e-03    9.968150e-12     3.809294e-11  
   217.0   -1.913946e-03  -6.727290e-03    9.308695e-12     3.966274e-11  
   218.0   -2.256269e-03  -7.697080e-03    6.284436e-12     3.838010e-11  
   219.0   -2.480523e-03  -8.442718e-03    2.086851e-12     3.586329e-11  
