#Longitud de onda =  618  nm				Anchura de pulso =  50  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0   -1.064770e-04  -4.599297e-05   -3.559806e-13    -1.510201e-13  
     1.0   -1.020276e-04  -3.821849e-05   -3.419665e-13    -1.226967e-13  
     2.0   -9.741888e-05  -3.115566e-05   -3.274523e-13    -9.675793e-14  
     3.0   -9.269540e-05  -2.477015e-05   -3.126026e-13    -7.309487e-14  
     4.0   -8.789735e-05  -1.902690e-05   -2.975670e-13    -5.159659e-14  
     5.0   -8.306062e-05  -1.389045e-05   -2.824804e-13    -3.215114e-14  
     6.0   -7.821700e-05  -9.325159e-06   -2.674639e-13    -1.464646e-14  
     7.0   -7.339445e-05  -5.295426e-06   -2.526256e-13     1.028741e-15  
     8.0   -6.861734e-05  -1.765916e-06   -2.380610e-13     1.498423e-14  
     9.0   -6.390666e-05   1.298282e-06   -2.238541e-13     2.732758e-14  
    10.0   -5.928030e-05   3.931502e-06   -2.100780e-13     3.816360e-14  
    11.0   -5.475321e-05   6.167367e-06   -1.967953e-13     4.759382e-14  
    12.0   -5.033770e-05   8.038681e-06   -1.840593e-13     5.571601e-14  
    13.0   -4.604364e-05   9.577342e-06   -1.719143e-13     6.262390e-14  
    14.0   -4.187866e-05   1.081426e-05   -1.603963e-13     6.840677e-14  
    15.0   -3.784840e-05   1.177931e-05   -1.495336e-13     7.314929e-14  
    16.0   -3.395667e-05   1.250127e-05   -1.393477e-13     7.693128e-14  
    17.0   -3.020572e-05   1.300782e-05   -1.298533e-13     7.982762e-14  
    18.0   -2.659637e-05   1.332549e-05   -1.210593e-13     8.190810e-14  
    19.0   -2.312820e-05   1.347967e-05   -1.129692e-13     8.323745e-14  
    20.0   -1.979977e-05   1.349463e-05   -1.055813e-13     8.387527e-14  
    21.0   -1.660877e-05   1.339346e-05   -9.888958e-14     8.387611e-14  
    22.0   -1.355214e-05   1.319816e-05   -9.288357e-14     8.328952e-14  
    23.0   -1.062630e-05   1.292964e-05   -8.754916e-14     8.216015e-14  
    24.0   -7.827217e-06   1.260769e-05   -8.286873e-14     8.052790e-14  
    25.0   -5.150594e-06   1.225109e-05   -7.882148e-14     7.842805e-14  
    26.0   -2.591973e-06   1.187758e-05   -7.538372e-14     7.589146e-14  
    27.0   -1.468632e-07   1.150390e-05   -7.252907e-14     7.294474e-14  
    28.0    2.189150e-06   1.114587e-05   -7.022875e-14     6.961051e-14  
    29.0    4.420302e-06   1.081833e-05   -6.845170e-14     6.590761e-14  
    30.0    6.550549e-06   1.053525e-05   -6.716477e-14     6.185135e-14  
    31.0    8.583481e-06   1.030973e-05   -6.633289e-14     5.745379e-14  
    32.0    1.052224e-05   1.015402e-05   -6.591913e-14     5.272403e-14  
    33.0    1.236946e-05   1.007955e-05   -6.588488e-14     4.766845e-14  
    34.0    1.412716e-05   1.009696e-05   -6.618987e-14     4.229106e-14  
    35.0    1.579673e-05   1.021607e-05   -6.679229e-14     3.659380e-14  
    36.0    1.737886e-05   1.044598e-05   -6.764881e-14     3.057683e-14  
    37.0    1.887348e-05   1.079499e-05   -6.871467e-14     2.423886e-14  
    38.0    2.027973e-05   1.127065e-05   -6.994372e-14     1.757752e-14  
    39.0    2.159593e-05   1.187976e-05   -7.128842e-14     1.058964e-14  
    40.0    2.281958e-05   1.262832e-05   -7.269991e-14     3.271593e-15  
    41.0    2.394726e-05   1.352160e-05   -7.412806e-14    -4.380322e-15  
    42.0    2.497470e-05   1.456405e-05   -7.552144e-14    -1.236958e-14  
    43.0    2.589676e-05   1.575930e-05   -7.682745e-14    -2.069906e-14  
    44.0    2.670736e-05   1.711017e-05   -7.799230e-14    -2.937072e-14  
    45.0    2.739958e-05   1.861859e-05   -7.896109e-14    -3.838523e-14  
    46.0    2.796561e-05   2.028559e-05   -7.967787e-14    -4.774165e-14  
    47.0    2.839681e-05   2.211128e-05   -8.008573e-14    -5.743706e-14  
    48.0    2.868370e-05   2.409477e-05   -8.012687e-14    -6.746624e-14  
    49.0    2.881603e-05   2.623415e-05   -7.974274e-14    -7.782134e-14  
    50.0    2.878280e-05   2.852645e-05   -7.887413e-14    -8.849155e-14  
    51.0    2.857231e-05   3.096756e-05   -7.746135e-14    -9.946274e-14  
    52.0    2.817224e-05   3.355220e-05   -7.544438e-14    -1.107172e-13  
    53.0    2.756968e-05   3.627385e-05   -7.276305e-14    -1.222334e-13  
    54.0    2.675123e-05   3.912472e-05   -6.935728e-14    -1.339854e-13  
    55.0    2.570307e-05   4.209568e-05   -6.516729e-14    -1.459429e-13  
    56.0    2.441104e-05   4.517620e-05   -6.013387e-14    -1.580710e-13  
    57.0    2.286076e-05   4.835428e-05   -5.419871e-14    -1.703296e-13  
    58.0    2.103770e-05   5.161646e-05   -4.730463e-14    -1.826734e-13  
    59.0    1.892732e-05   5.494771e-05   -3.939602e-14    -1.950519e-13  
    60.0    1.651520e-05   5.833140e-05   -3.041914e-14    -2.074089e-13  
    61.0    1.378711e-05   6.174929e-05   -2.032254e-14    -2.196823e-13  
    62.0    1.072922e-05   6.518145e-05   -9.057495e-15    -2.318042e-13  
    63.0    7.328198e-06   6.860625e-05    3.421557e-15    -2.437009e-13  
    64.0    3.571354e-06   7.200035e-05    1.715655e-14    -2.552925e-13  
    65.0   -5.531690e-07   7.533867e-05    3.218527e-14    -2.664930e-13  
    66.0   -5.056256e-06   7.859440e-05    4.854088e-14    -2.772106e-13  
    67.0   -9.947642e-06   8.173898e-05    6.625130e-14    -2.873473e-13  
    68.0   -1.523574e-05   8.474212e-05    8.533876e-14    -2.967994e-13  
    69.0   -2.092746e-05   8.757188e-05    1.058191e-13    -3.054571e-13  
    70.0   -2.702803e-05   9.019461e-05    1.277014e-13    -3.132056e-13  
    71.0   -3.354079e-05   9.257510e-05    1.509870e-13    -3.199244e-13  
    72.0   -4.046702e-05   9.467659e-05    1.756693e-13    -3.254882e-13  
    73.0   -4.780576e-05   9.646088e-05    2.017329e-13    -3.297670e-13  
    74.0   -5.555358e-05   9.788841e-05    2.291533e-13    -3.326267e-13  
    75.0   -6.370441e-05   9.891837e-05    2.578957e-13    -3.339292e-13  
    76.0   -7.224936e-05   9.950887e-05    2.879152e-13    -3.335335e-13  
    77.0   -8.117653e-05   9.961704e-05    3.191556e-13    -3.312958e-13  
    78.0   -9.047080e-05   9.919923e-05    3.515490e-13    -3.270705e-13  
    79.0   -1.001137e-04   9.821119e-05    3.850156e-13    -3.207105e-13  
    80.0   -1.100832e-04   9.660826e-05    4.194626e-13    -3.120687e-13  
    81.0   -1.203535e-04   9.434562e-05    4.547843e-13    -3.009979e-13  
    82.0   -1.308950e-04   9.137850e-05    4.908614e-13    -2.873527e-13  
    83.0   -1.416743e-04   8.766248e-05    5.275607e-13    -2.709896e-13  
    84.0   -1.526534e-04   8.315373e-05    5.647345e-13    -2.517686e-13  
    85.0   -1.637906e-04   7.780936e-05    6.022210e-13    -2.295541e-13  
    86.0   -1.750396e-04   7.158768e-05    6.398434e-13    -2.042161e-13  
    87.0   -1.863497e-04   6.444861e-05    6.774101e-13    -1.756311e-13  
    88.0   -1.976659e-04   5.635399e-05    7.147148e-13    -1.436836e-13  
    89.0   -2.089286e-04   4.726795e-05    7.515361e-13    -1.082675e-13  
    90.0   -2.200739e-04   3.715735e-05    7.876382e-13    -6.928683e-14  
    91.0   -2.310332e-04   2.599214e-05    8.227707e-13    -2.665770e-14  
    92.0   -2.417339e-04   1.374573e-05    8.566692e-13     1.969070e-14  
    93.0   -2.520986e-04   3.954649e-07    8.890554e-13     6.981449e-14  
    94.0   -2.620462e-04  -1.407710e-05    9.196383e-13     1.237536e-13  
    95.0   -2.714912e-04  -2.968580e-05    9.481141e-13     1.815300e-13  
    96.0   -2.803443e-04  -4.643956e-05    9.741677e-13     2.431462e-13  
    97.0   -2.885128e-04  -6.434208e-05    9.974731e-13     3.085832e-13  
    98.0   -2.959004e-04  -8.339151e-05    1.017695e-12     3.777987e-13  
    99.0   -3.024077e-04  -1.035801e-04    1.034488e-12     4.507257e-13  
   100.0   -3.079329e-04  -1.248936e-04    1.047503e-12     5.272711e-13  
   101.0   -3.123716e-04  -1.473108e-04    1.056380e-12     6.073149e-13  
   102.0   -3.156179e-04  -1.708027e-04    1.060759e-12     6.907098e-13  
   103.0   -3.175643e-04  -1.953317e-04    1.060274e-12     7.772817e-13  
   104.0   -3.181022e-04  -2.208507e-04    1.054561e-12     8.668300e-13  
