#Longitud de onda =  497  nm				Anchura de pulso =  125  nm
 Iteracion  E(x,n) real   E(x,n) imag  E(x+1,n) real  E(x+1,n) imag  B(x,n+1/2) real  B(x,n+1/2) imag  B(x-1,n+1/2) real  B(x-1,n+1/2) imag
    43.0    -0.149453   -3.246200e-02   -0.147356    -5.215709e-02   -4.789118e-10    -9.318302e-11     -4.761192e-10      -3.128132e-11   
    44.0    -0.149018   -2.281916e-02   -0.148168    -4.232297e-02   -4.803843e-10    -5.937804e-11     -4.733505e-10       1.709794e-12   
    45.0    -0.147922   -1.330310e-02   -0.148295    -3.253101e-02   -4.797379e-10    -2.605125e-11     -4.685861e-10       3.397124e-11   
    46.0    -0.146185   -3.952989e-03   -0.147750    -2.282345e-02   -4.770255e-10     6.655961e-12     -4.618950e-10       6.537244e-11   
    47.0    -0.143828    5.193672e-03   -0.146550    -1.324113e-02   -4.723075e-10     3.860808e-11     -4.533530e-10       9.578953e-11   
    48.0    -0.140875    1.410121e-02   -0.144715    -3.823414e-03   -4.656523e-10     6.967594e-11     -4.430427e-10       1.251058e-10   
    49.0    -0.137353    2.273589e-02   -0.142267     5.392042e-03   -4.571353e-10     9.973716e-11     -4.310527e-10       1.532119e-10   
    50.0    -0.133290    3.106601e-02   -0.139231     1.436937e-02   -4.468384e-10     1.286766e-10     -4.174769e-10       1.800066e-10   
    51.0    -0.128716    3.906204e-02   -0.135633     2.307462e-02   -4.348498e-10     1.563868e-10     -4.024144e-10       2.053967e-10   
    52.0    -0.123664    4.669664e-02   -0.131503     3.147588e-02   -4.212629e-10     1.827682e-10     -3.859683e-10       2.292973e-10   
    53.0    -0.118166    5.394480e-02   -0.126870     3.954338e-02   -4.061762e-10     2.077294e-10     -3.682457e-10       2.516323e-10   
    54.0    -0.112257    6.078385e-02   -0.121767     4.724954e-02   -3.896926e-10     2.311878e-10     -3.493567e-10       2.723344e-10   
    55.0    -0.105974    6.719354e-02   -0.116228     5.456910e-02   -3.719186e-10     2.530691e-10     -3.294141e-10       2.913451e-10   
    56.0    -0.099352    7.315605e-02   -0.110288     6.147911e-02   -3.529641e-10     2.733081e-10     -3.085324e-10       3.086150e-10   
    57.0    -0.092431    7.865604e-02   -0.103983     6.795906e-02   -3.329416e-10     2.918487e-10     -2.868278e-10       3.241037e-10   
    58.0    -0.085248    8.368061e-02   -0.097350     7.399084e-02   -3.119654e-10     3.086435e-10     -2.644173e-10       3.377798e-10   
    59.0    -0.077841    8.821937e-02   -0.090426     7.955881e-02   -2.901516e-10     3.236544e-10     -2.414178e-10       3.496210e-10   
    60.0    -0.070249    9.226436e-02   -0.083250     8.464979e-02   -2.676170e-10     3.368523e-10     -2.179464e-10       3.596138e-10   
    61.0    -0.062512    9.581006e-02   -0.075861     8.925307e-02   -2.444787e-10     3.482172e-10     -1.941191e-10       3.677534e-10   
    62.0    -0.054667    9.885334e-02   -0.068297     9.336040e-02   -2.208536e-10     3.577379e-10     -1.700506e-10       3.740439e-10   
    63.0    -0.046753    1.013934e-01   -0.060597     9.696594e-02   -1.968579e-10     3.654118e-10     -1.458537e-10       3.784974e-10   
    64.0    -0.038807    1.034319e-01   -0.052799     1.000663e-01   -1.726065e-10     3.712453e-10     -1.216389e-10       3.811344e-10   
    65.0    -0.030868    1.049724e-01   -0.044942     1.026603e-01   -1.482126e-10     3.752526e-10     -9.751415e-11       3.819833e-10   
    66.0    -0.022970    1.060209e-01   -0.037063     1.047493e-01   -1.237870e-10     3.774566e-10     -7.358385e-11       3.810800e-10   
    67.0    -0.015150    1.065853e-01   -0.029198     1.063366e-01   -9.943786e-11     3.778877e-10     -4.994899e-11       3.784676e-10   
    68.0    -0.007441    1.066756e-01   -0.021384     1.074279e-01   -7.527035e-11     3.765838e-10     -2.670656e-11       3.741962e-10   
    69.0     0.000125    1.063037e-01   -0.013656     1.080308e-01   -5.138599e-11     3.735902e-10     -3.949184e-12       3.683225e-10   
    70.0     0.007514    1.054831e-01   -0.006046     1.081551e-01   -2.788241e-11     3.689589e-10      1.823513e-11       3.609092e-10   
    71.0     0.014698    1.042291e-01    0.001411     1.078124e-01   -4.852993e-12     3.627483e-10      3.976331e-11       3.520247e-10   
    72.0     0.021648    1.025587e-01    0.008686     1.070159e-01    1.761343e-11     3.550229e-10      6.055750e-11       3.417426e-10   
    73.0     0.028338    1.004899e-01    0.015749     1.057807e-01    3.943290e-11     3.458526e-10      8.054522e-11       3.301415e-10   
    74.0     0.034742    9.804249e-02    0.022572     1.041234e-01    6.052658e-11     3.353129e-10      9.965961e-11       3.173042e-10   
    75.0     0.040838    9.523716e-02    0.029129     1.020622e-01    8.082095e-11     3.234834e-10      1.178396e-10       3.033173e-10   
    76.0     0.046605    9.209576e-02    0.035397     9.961639e-02    1.002480e-10     3.104482e-10      1.350298e-10       2.882709e-10   
    77.0     0.052023    8.864105e-02    0.041351     9.680661e-02    1.187456e-10     2.962953e-10      1.511810e-10       2.722579e-10   
    78.0     0.057076    8.489659e-02    0.046973     9.365456e-02    1.362570e-10     2.811155e-10      1.662496e-10       2.553738e-10   
    79.0     0.061748    8.088663e-02    0.052243     9.018288e-02    1.527318e-10     2.650028e-10      1.801977e-10       2.377161e-10   
    80.0     0.066027    7.663600e-02    0.057145     8.641507e-02    1.681249e-10     2.480532e-10      1.929924e-10       2.193837e-10   
    81.0     0.069900    7.216996e-02    0.061666     8.237531e-02    1.823969e-10     2.303648e-10      2.046047e-10       2.004775e-10   
    82.0     0.073360    6.751422e-02    0.065792     7.808840e-02    1.955133e-10     2.120371e-10      2.150069e-10       1.810999e-10   
    83.0     0.076396    6.269493e-02    0.069514     7.357962e-02    2.074430e-10     1.931712e-10      2.241691e-10       1.613555e-10   
    84.0     0.079002    5.773879e-02    0.072821     6.887475e-02    2.181561e-10     1.738698e-10      2.320520e-10       1.413532e-10   
    85.0     0.081167    5.267347e-02    0.075707     6.400004e-02    2.276195e-10     1.542380e-10      2.385958e-10       1.212087e-10   
    86.0     0.082876    4.752826e-02    0.078163     5.898240e-02    2.357899e-10     1.343851e-10      2.437040e-10       1.010494e-10   
    87.0     0.084109    4.233533e-02    0.080179     5.384981e-02    2.426020e-10     1.144277e-10      2.472197e-10       8.102224e-11   
    88.0     0.084829    3.713154e-02    0.081742     4.863204e-02    2.479521e-10     9.449441e-11      2.488967e-10       6.130383e-11   
    89.0     0.084976    3.196122e-02    0.082828     4.336190e-02    2.516744e-10     7.473419e-11      2.483664e-10       4.211365e-11   
    90.0     0.084460    2.687970e-02    0.083400     3.807716e-02    2.535123e-10     5.532620e-11      2.451095e-10       2.372860e-11   
    91.0     0.083152    2.195753e-02    0.083397     3.282333e-02    2.530865e-10     3.649304e-11      2.384428e-10       6.495859e-12   
    92.0     0.080870    1.728467e-02    0.082727     2.765720e-02    2.498685e-10     1.851485e-11      2.275426e-10      -9.160979e-12   
    93.0     0.077393    1.297342e-02    0.081256     2.265093e-02    2.431714e-10     1.741309e-12      2.115231e-10      -2.274966e-11   
    94.0     0.072462    9.158293e-03    0.078806     1.789608e-02    2.321766e-10    -1.340346e-11      1.895916e-10      -3.373897e-11   
    95.0     0.065829    5.990493e-03    0.075152     1.350624e-02    2.160168e-10    -2.643012e-11      1.612866e-10      -4.161721e-11   
    96.0     0.057303    3.624699e-03    0.070044     9.616454e-03    1.939337e-10    -3.681533e-11      1.267821e-10      -4.598129e-11   
    97.0     0.046842    2.196855e-03    0.063239     6.377247e-03    1.655150e-10    -4.406100e-11      8.720537e-11      -4.664963e-11   
    98.0     0.034644    1.793606e-03    0.054561     3.941072e-03    1.309925e-10    -4.778309e-11      4.487565e-11      -4.377951e-11   
    99.0     0.021229    2.417271e-03    0.043986     2.439992e-03    9.154796e-11    -4.782247e-11      3.343823e-12      -3.795729e-11   
   100.0     0.007488    3.954038e-03    0.031728     1.955463e-03    4.953543e-11    -4.435844e-11     -3.288798e-11      -3.022150e-11   
   101.0    -0.005351    6.156244e-03    0.018322     2.484187e-03    8.503831e-12    -3.799385e-11     -5.903600e-11      -2.198184e-11   
   102.0    -0.015872    8.650542e-03    0.004666     3.907659e-03   -2.709451e-11    -2.977325e-11     -7.105810e-11      -1.481507e-11   
   103.0    -0.022721    1.098068e-02   -0.008022     5.975986e-03   -5.257210e-11    -2.109887e-11     -6.684706e-11      -1.015368e-11   
   104.0    -0.024945    1.268568e-02   -0.018345     8.317278e-03   -6.401108e-11    -1.352733e-11     -4.726437e-11      -8.927600e-12   
   105.0    -0.022336    1.340221e-02   -0.024983     1.048080e-02   -5.942267e-11    -8.463793e-12     -1.660469e-11      -1.125901e-11   
   106.0    -0.015666    1.296678e-02   -0.027022     1.201424e-02   -3.974044e-11    -6.812797e-12      1.786533e-11      -1.632731e-11   
   107.0    -0.006692    1.148464e-02   -0.024282     1.256380e-02   -9.253025e-12    -8.683242e-12      4.742596e-11      -2.249625e-11   
   108.0     0.002137    9.332900e-03   -0.017546     1.197346e-02    2.486326e-11    -1.325999e-11      6.424601e-11      -2.772486e-11   
   109.0     0.008272    7.079609e-03   -0.008558     1.035120e-02    5.403418e-11    -1.893047e-11      6.391091e-11      -3.017973e-11   
   110.0     0.009811    5.327236e-03    0.000271     8.071085e-03    7.056912e-11    -2.368624e-11      4.723592e-11      -2.886513e-11   
   111.0     0.006176    4.520487e-03    0.006435     5.693796e-03    7.011996e-11    -2.571988e-11      2.050700e-11      -2.403497e-11   
   112.0    -0.001553    4.782957e-03    0.008065     3.813844e-03    5.344932e-11    -2.404017e-11     -6.272108e-12      -1.718670e-11   
   113.0    -0.010856    5.850569e-03    0.004588     2.872155e-03    2.668057e-11    -1.887783e-11     -2.279947e-11      -1.057153e-11   
   114.0    -0.018564    7.144498e-03   -0.002950     2.996138e-03   -3.825583e-13    -1.168769e-11     -2.243779e-11      -6.351279e-12   
   115.0    -0.022000    7.975786e-03   -0.012087     3.933018e-03   -1.756400e-11    -4.680561e-12     -5.125166e-12      -5.712081e-12   
   116.0    -0.020062    7.815100e-03   -0.019706     5.118283e-03   -1.818117e-11    -6.304359e-15      2.219090e-11      -8.317705e-12   
   117.0    -0.013773    6.520377e-03   -0.023147     5.872868e-03   -1.933952e-12     1.115991e-12      4.813077e-11      -1.238914e-11   
   118.0    -0.005974    4.416592e-03   -0.021268     5.666052e-03    2.457439e-11    -1.049635e-12      6.167543e-11      -1.544402e-11   
   119.0    -0.000194    2.174282e-03   -0.015003     4.341036e-03    5.024144e-11    -4.805160e-12      5.719051e-11      -1.541589e-11   
   120.0     0.000888    5.213776e-04   -0.007096     2.199929e-03    6.407982e-11    -7.714509e-12      3.729658e-11      -1.164967e-11   
   121.0    -0.003284   -9.162938e-05   -0.001024    -1.063622e-04    6.016334e-11    -7.688973e-12      1.195560e-11      -5.270194e-12   
   122.0    -0.010794    2.851601e-04    0.000497    -1.853997e-03    4.059300e-11    -3.981279e-12     -6.134989e-12       1.316380e-12   
   123.0    -0.018073    1.110412e-03   -0.003213    -2.574918e-03    1.483701e-11     2.406319e-12     -7.819674e-12       5.601865e-12   
   124.0    -0.021602    1.608204e-03   -0.010399    -2.285258e-03   -4.580421e-12     9.154660e-12      7.697255e-12       6.269053e-12   
   125.0    -0.019690    1.158693e-03   -0.017606    -1.492101e-03   -8.191892e-12     1.374915e-11      3.217082e-11       3.914913e-12   
   126.0    -0.013402   -3.732519e-04   -0.021302    -9.564915e-04    5.500580e-12     1.476005e-11      5.245210e-11       7.713543e-13   
   127.0    -0.006088   -2.552365e-03   -0.019643    -1.314746e-03    2.899532e-11     1.261495e-11      5.750812e-11      -4.863449e-13   
   128.0    -0.001647   -4.593241e-03   -0.013471    -2.745252e-03    4.949045e-11     9.411919e-12      4.458859e-11       1.772012e-12   
   129.0    -0.002410   -5.783361e-03   -0.005955    -4.861238e-03    5.563536e-11     7.813649e-12      2.097708e-11       7.180719e-12   
   130.0    -0.007809   -5.881957e-03   -0.000979    -6.902727e-03    4.379746e-11     9.582898e-12      4.855088e-14       1.354683e-11   
   131.0    -0.014624   -5.264468e-03   -0.001056    -8.140957e-03    2.028132e-11     1.456857e-11     -6.380549e-12       1.809728e-11   
   132.0    -0.018777   -4.714776e-03   -0.005913    -8.281679e-03   -2.016146e-12     2.075091e-11      4.939162e-12       1.911230e-11   
   133.0    -0.017694   -4.970033e-03   -0.012573    -7.637974e-03   -1.089269e-11     2.537511e-11      2.658159e-11       1.697372e-11   
   134.0    -0.011856   -6.278775e-03   -0.016992    -6.960364e-03   -1.991777e-12     2.655648e-11      4.476539e-11       1.395841e-11   
   135.0    -0.004573   -8.241260e-03   -0.016374    -7.006034e-03    1.846223e-11     2.441552e-11      4.772946e-11       1.285161e-11   
   136.0    -0.000014   -1.004265e-02   -0.010836    -8.090162e-03    3.721990e-11     2.103138e-11      3.309767e-11       1.520439e-11   
   137.0    -0.000656   -1.095036e-02   -0.003396    -9.888521e-03    4.196966e-11     1.919095e-11      9.522036e-12       2.033067e-11   
   138.0    -0.005710   -1.077281e-02    0.001794    -1.162288e-02    2.896220e-11     2.066432e-11     -8.680478e-12       2.571663e-11   
   139.0    -0.011574   -9.985783e-03    0.001968    -1.253104e-02    5.490988e-12     2.507588e-11     -1.069174e-11       2.862651e-11   
   140.0    -0.014095   -9.432678e-03   -0.002528    -1.233950e-02   -1.455834e-11     3.011413e-11      3.705991e-12       2.788952e-11   
   141.0    -0.011250   -9.779221e-03   -0.008398    -1.144011e-02   -1.950064e-11     3.299287e-11      2.386326e-11       2.468688e-11   
   142.0    -0.004495   -1.107310e-02   -0.011455    -1.064696e-02   -7.437101e-12     3.225425e-11      3.524033e-11       2.178014e-11   
   143.0     0.002153   -1.270472e-02   -0.009285    -1.067560e-02    1.238772e-11     2.873727e-11      2.915322e-11       2.165675e-11   
   144.0     0.004765   -1.380770e-02   -0.002841    -1.167516e-02    2.557038e-11     2.504105e-11      8.736491e-12       2.482928e-11   
   145.0     0.002143   -1.384069e-02    0.004139    -1.312348e-02    2.210954e-11     2.379794e-11     -1.308734e-11       2.946482e-11   
   146.0    -0.003340   -1.295792e-02    0.007572    -1.416640e-02    3.195971e-12     2.589254e-11     -2.245107e-11       3.263722e-11   
   147.0    -0.007335   -1.190726e-02    0.005748    -1.418650e-02   -1.948097e-11     2.984303e-11     -1.420203e-11       3.236514e-11   
