#Longitud de onda =  581  nm				Anchura de pulso =  150  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0   -3.072249e-01   1.967133e-01   -1.027452e-09     6.586781e-10  
     1.0   -2.932409e-01   2.117989e-01   -9.834600e-10     7.115010e-10  
     2.0   -2.785048e-01   2.259920e-01   -9.369458e-10     7.613270e-10  
     3.0   -2.630745e-01   2.392594e-01   -8.880966e-10     8.080343e-10  
     4.0   -2.470097e-01   2.515708e-01   -8.371041e-10     8.515128e-10  
     5.0   -2.303710e-01   2.628999e-01   -7.841647e-10     8.916646e-10  
     6.0   -2.132204e-01   2.732240e-01   -7.294782e-10     9.284040e-10  
     7.0   -1.956204e-01   2.825237e-01   -6.732474e-10     9.616578e-10  
     8.0   -1.776345e-01   2.907837e-01   -6.156774e-10     9.913651e-10  
     9.0   -1.593265e-01   2.979921e-01   -5.569747e-10     1.017478e-09  
    10.0   -1.407601e-01   3.041407e-01   -4.973466e-10     1.039960e-09  
    11.0   -1.219995e-01   3.092249e-01   -4.370004e-10     1.058788e-09  
    12.0   -1.031081e-01   3.132438e-01   -3.761429e-10     1.073951e-09  
    13.0   -8.414942e-02   3.161999e-01   -3.149794e-10     1.085451e-09  
    14.0   -6.518591e-02   3.180992e-01   -2.537135e-10     1.093300e-09  
    15.0   -4.627934e-02   3.189511e-01   -1.925458e-10     1.097524e-09  
    16.0   -2.749043e-02   3.187685e-01   -1.316740e-10     1.098159e-09  
    17.0   -8.878650e-03   3.175673e-01   -7.129168e-11     1.095254e-09  
    18.0    9.497920e-03   3.153666e-01   -1.158796e-11     1.088868e-09  
    19.0    2.758280e-02   3.121887e-01    4.725304e-11     1.079070e-09  
    20.0    4.532126e-02   3.080585e-01    1.050528e-10     1.065940e-09  
    21.0    6.266048e-02   3.030039e-01    1.616390e-10     1.049568e-09  
    22.0    7.954968e-02   2.970553e-01    2.168457e-10     1.030054e-09  
    23.0    9.594032e-02   2.902458e-01    2.705143e-10     1.007505e-09  
    24.0    1.117861e-01   2.826107e-01    3.224934e-10     9.820392e-10  
    25.0    1.270434e-01   2.741875e-01    3.726398e-10     9.537799e-10  
    26.0    1.416708e-01   2.650157e-01    4.208182e-10     9.228597e-10  
    27.0    1.556298e-01   2.551368e-01    4.669022e-10     8.894176e-10  
    28.0    1.688846e-01   2.445940e-01    5.107740e-10     8.535990e-10  
    29.0    1.814023e-01   2.334319e-01    5.523251e-10     8.155549e-10  
    30.0    1.931528e-01   2.216965e-01    5.914563e-10     7.754417e-10  
