#Longitud de onda =  400  nm				Anchura de pulso =  100  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0    8.313415e-03   1.031210e-01    2.855431e-11     3.460749e-10  
     1.0    1.631091e-02   1.001979e-01    5.604400e-11     3.384126e-10  
     2.0    2.394741e-02   9.666935e-02    8.230803e-11     3.287073e-10  
     3.0    3.118184e-02   9.257821e-02    1.071988e-10     3.170896e-10  
     4.0    3.797719e-02   8.796987e-02    1.305828e-10     3.036995e-10  
     5.0    4.430075e-02   8.289210e-02    1.523410e-10     2.886851e-10  
     6.0    5.012415e-02   7.739456e-02    1.723695e-10     2.722007e-10  
     7.0    5.542342e-02   7.152843e-02    1.905797e-10     2.544064e-10  
     8.0    6.017906e-02   6.534596e-02    2.068986e-10     2.354660e-10  
     9.0    6.437601e-02   5.890012e-02    2.212687e-10     2.155462e-10  
    10.0    6.800362e-02   5.224415e-02    2.336480e-10     1.948151e-10  
    11.0    7.105557e-02   4.543119e-02    2.440101e-10     1.734409e-10  
    12.0    7.352978e-02   3.851391e-02    2.523434e-10     1.515910e-10  
    13.0    7.542831e-02   3.154416e-02    2.586513e-10     1.294305e-10  
    14.0    7.675718e-02   2.457257e-02    2.629515e-10     1.071211e-10  
    15.0    7.752619e-02   1.764831e-02    2.652753e-10     8.482047e-11  
    16.0    7.774875e-02   1.081870e-02    2.656673e-10     6.268075e-11  
    17.0    7.744165e-02   4.128978e-03    2.641842e-10     4.084795e-11  
    18.0    7.662482e-02  -2.377974e-03    2.608948e-10     1.946101e-11  
    19.0    7.532111e-02  -8.661872e-03    2.558782e-10    -1.348926e-12  
    20.0    7.355596e-02  -1.468523e-02    2.492237e-10    -2.145918e-11  
    21.0    7.135721e-02  -2.041357e-02    2.410296e-10    -4.075614e-11  
    22.0    6.875477e-02  -2.581552e-02    2.314019e-10    -5.913576e-11  
    23.0    6.578035e-02  -3.086302e-02    2.204540e-10    -7.650399e-11  
    24.0    6.246714e-02  -3.553136e-02    2.083050e-10    -9.277704e-11  
    25.0    5.884957e-02  -3.979930e-02    1.950789e-10    -1.078817e-10  
    26.0    5.496299e-02  -4.364908e-02    1.809037e-10    -1.217555e-10  
    27.0    5.084338e-02  -4.706648e-02    1.659104e-10    -1.343466e-10  
    28.0    4.652708e-02  -5.004077e-02    1.502315e-10    -1.456141e-10  
    29.0    4.205050e-02  -5.256473e-02    1.340007e-10    -1.555276e-10  
    30.0    3.744988e-02  -5.463456e-02    1.173513e-10    -1.640674e-10  
    31.0    3.276102e-02  -5.624982e-02    1.004156e-10    -1.712238e-10  
    32.0    2.801905e-02  -5.741333e-02    8.332367e-11    -1.769974e-10  
    33.0    2.325816e-02  -5.813104e-02    6.620301e-11    -1.813982e-10  
    34.0    1.851146e-02  -5.841190e-02    4.917717e-11    -1.844454e-10  
    35.0    1.381072e-02  -5.826771e-02    3.236524e-11    -1.861670e-10  
    36.0    9.186206e-03  -5.771296e-02    1.588112e-11    -1.865989e-10  
    37.0    4.666538e-03  -5.676460e-02   -1.672170e-13    -1.857851e-10  
    38.0    2.785247e-04  -5.544189e-02   -1.567825e-11    -1.837762e-10  
    39.0   -3.952956e-03  -5.376618e-02   -3.055750e-11    -1.806295e-10  
    40.0   -8.005063e-03  -5.176067e-02   -4.471794e-11    -1.764078e-10  
    41.0   -1.185708e-02  -4.945024e-02   -5.808046e-11    -1.711791e-10  
