#Longitud de onda =  476  nm				Anchura de pulso =  150  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0      0.191241      -0.310354      6.401184e-10    -1.040170e-09  
     1.0      0.168013      -0.319752      5.648399e-10    -1.076432e-09  
     2.0      0.144305      -0.327496      4.879487e-10    -1.107124e-09  
     3.0      0.120236      -0.333571      4.098370e-10    -1.132176e-09  
     4.0      0.095926      -0.337973      3.308973e-10    -1.151542e-09  
     5.0      0.071494      -0.340703      2.515210e-10    -1.165209e-09  
     6.0      0.047058      -0.341773      1.720957e-10    -1.173187e-09  
     7.0      0.022734      -0.341201      9.300386e-11    -1.175516e-09  
     8.0     -0.001364      -0.339014      1.462093e-11    -1.172262e-09  
     9.0     -0.025124      -0.335244     -6.268651e-11    -1.163517e-09  
    10.0     -0.048437      -0.329935     -1.385624e-10    -1.149398e-09  
    11.0     -0.071199      -0.323132     -2.126626e-10    -1.130045e-09  
    12.0     -0.093308      -0.314892     -2.846567e-10    -1.105624e-09  
    13.0     -0.114670      -0.305274     -3.542294e-10    -1.076320e-09  
    14.0     -0.135192      -0.294345     -4.210816e-10    -1.042341e-09  
    15.0     -0.154789      -0.282177     -4.849319e-10    -1.003913e-09  
    16.0     -0.173380      -0.268848     -5.455175e-10    -9.612827e-10  
    17.0     -0.190891      -0.254437     -6.025956e-10    -9.147108e-10  
    18.0     -0.207254      -0.239032     -6.559436e-10    -8.644747e-10  
    19.0     -0.222407      -0.222721     -7.053609e-10    -8.108653e-10  
    20.0     -0.236296      -0.205596     -7.506685e-10    -7.541854e-10  
    21.0     -0.248871      -0.187752     -7.917104e-10    -6.947484e-10  
    22.0     -0.260093      -0.169286     -8.283535e-10    -6.328767e-10  
    23.0     -0.269927      -0.150296     -8.604883e-10    -5.688994e-10  
    24.0     -0.278346      -0.130882     -8.880287e-10    -5.031513e-10  
    25.0     -0.285330      -0.111144     -9.109124e-10    -4.359709e-10  
    26.0     -0.290868      -0.091182     -9.291008e-10    -3.676986e-10  
    27.0     -0.294952      -0.071096     -9.425784e-10    -2.986753e-10  
    28.0     -0.297586      -0.050985     -9.513533e-10    -2.292404e-10  
    29.0     -0.298778      -0.030945     -9.554562e-10    -1.597306e-10  
    30.0     -0.298543      -0.011073     -9.549401e-10    -9.047787e-11  
    31.0     -0.296903       0.008538     -9.498797e-10    -2.180821e-11  
    32.0     -0.293887       0.027798     -9.403706e-10     4.595994e-11  
    33.0     -0.289528       0.046619     -9.265288e-10     1.125171e-10  
    34.0     -0.283869       0.064917     -9.084895e-10     1.775642e-10  
    35.0     -0.276954       0.082612     -8.864063e-10     2.408138e-10  
    36.0     -0.268835       0.099629     -8.604499e-10     3.019913e-10  
    37.0     -0.259569       0.115895     -8.308076e-10     3.608360e-10  
    38.0     -0.249218       0.131344     -7.976813e-10     4.171026e-10  
    39.0     -0.237846       0.145915     -7.612870e-10     4.705615e-10  
    40.0     -0.225522       0.159552     -7.218532e-10     5.210000e-10  
    41.0     -0.212320       0.172203     -6.796193e-10     5.682233e-10  
    42.0     -0.198317       0.183823     -6.348349e-10     6.120548e-10  
    43.0     -0.183589       0.194373     -5.877578e-10     6.523367e-10  
    44.0     -0.168219       0.203819     -5.386529e-10     6.889310e-10  
    45.0     -0.152289       0.212134     -4.877908e-10     7.217190e-10  
    46.0     -0.135884       0.219296     -4.354462e-10     7.506024e-10  
    47.0     -0.119088       0.225289     -3.818965e-10     7.755029e-10  
    48.0     -0.101988       0.230104     -3.274206e-10     7.963628e-10  
    49.0     -0.084669       0.233737     -2.722973e-10     8.131443e-10  
    50.0     -0.067218       0.236189     -2.168040e-10     8.258299e-10  
    51.0     -0.049718       0.237469     -1.612152e-10     8.344221e-10  
    52.0     -0.032255       0.237591     -1.058016e-10     8.389428e-10  
    53.0     -0.014910       0.236572     -5.082816e-11     8.394333e-10  
    54.0      0.002236       0.234438      3.446420e-12     8.359534e-10  
    55.0      0.019105       0.231217      5.677133e-11     8.285812e-10  
    56.0      0.035620       0.226943      1.089046e-10     8.174119e-10  
    57.0      0.051710       0.221656      1.596142e-10     8.025579e-10  
    58.0      0.067303       0.215397      2.086788e-10     7.841471e-10  
    59.0      0.082335       0.208215      2.558893e-10     7.623227e-10  
    60.0      0.096742       0.200159      3.010488e-10     7.372419e-10  
    61.0      0.110465       0.191284      3.439740e-10     7.090750e-10  
    62.0      0.123451       0.181647      3.844957e-10     6.780046e-10  
    63.0      0.135650       0.171309      4.224595e-10     6.442240e-10  
    64.0      0.147015       0.160331      4.577260e-10     6.079368e-10  
    65.0      0.157507       0.148779      4.901715e-10     5.693552e-10  
    66.0      0.167090       0.136717      5.196883e-10     5.286989e-10  
    67.0      0.175732       0.124215      5.461850e-10     4.861942e-10  
    68.0      0.183408       0.111340      5.695867e-10     4.420726e-10  
    69.0      0.190097       0.098161      5.898347e-10     3.965697e-10  
    70.0      0.195782       0.084749      6.068871e-10     3.499238e-10  
    71.0      0.200454       0.071172      6.207184e-10     3.023749e-10  
    72.0      0.204106       0.057500      6.313192e-10     2.541635e-10  
    73.0      0.206738       0.043801      6.386964e-10     2.055294e-10  
    74.0      0.208353       0.030141      6.428724e-10     1.567104e-10  
    75.0      0.208961       0.016588      6.438852e-10     1.079416e-10  
    76.0      0.208576       0.003204      6.417873e-10     5.945379e-11  
    77.0      0.207214      -0.009948      6.366459e-10     1.147300e-11  
    78.0      0.204899      -0.022808      6.285417e-10    -3.578073e-11  
    79.0      0.201657      -0.035317      6.175684e-10    -8.209382e-11  
    80.0      0.197519      -0.047422      6.038322e-10    -1.272594e-10  
    81.0      0.192519      -0.059067      5.874499e-10    -1.710766e-10  
    82.0      0.186693      -0.070201      5.685487e-10    -2.133488e-10  
    83.0      0.180082      -0.080769      5.472637e-10    -2.538785e-10  
    84.0      0.172726      -0.090713      5.237356e-10    -2.924588e-10  
    85.0      0.164669      -0.099965      4.981075e-10    -3.288579e-10  
    86.0      0.155950      -0.108437      4.705202e-10    -3.627934e-10  
    87.0      0.146608      -0.116006      4.411061e-10    -3.938946e-10  
    88.0      0.136675      -0.122501      4.099826e-10    -4.216491e-10  
    89.0      0.126178      -0.127674      3.772445e-10    -4.453348e-10  
    90.0      0.115133      -0.131183      3.429610e-10    -4.639449e-10  
    91.0      0.103555      -0.132571      3.071778e-10    -4.761207e-10  
    92.0      0.091459      -0.131268      2.699338e-10    -4.801212e-10  
    93.0      0.078877      -0.126621      2.312972e-10    -4.738698e-10  
    94.0      0.065880      -0.117965      1.914283e-10    -4.551265e-10  
    95.0      0.052611      -0.104756      1.506701e-10    -4.218295e-10  
    96.0      0.039318      -0.086755      1.096592e-10    -3.726217e-10  
    97.0      0.026384      -0.064242      6.943542e-11    -3.075291e-10  
    98.0      0.014339      -0.038226      3.151383e-11    -2.286779e-10  
    99.0      0.003838      -0.010564     -2.130810e-12    -1.408525e-10  
   100.0     -0.004410       0.016091     -2.921750e-11    -5.163332e-11  
   101.0     -0.009767       0.038568     -4.748278e-11     2.914955e-11  
   102.0     -0.011824       0.053729     -5.516458e-11     9.080898e-11  
   103.0     -0.010580       0.059213     -5.157166e-11     1.239794e-10  
   104.0     -0.006563       0.054211     -3.759468e-11     1.232102e-10  
   105.0     -0.000853       0.040038     -1.596651e-11     8.928413e-11  
   106.0      0.005050       0.020228      8.915351e-12     3.038768e-11  
   107.0      0.009524      -0.000044      3.170638e-11    -3.865323e-11  
   108.0      0.011230      -0.015189      4.731237e-11    -9.940618e-11  
   109.0      0.009534      -0.020839      5.230088e-11    -1.347096e-10  
   110.0      0.004769      -0.015372      4.608921e-11    -1.341124e-10  
   111.0     -0.001766      -0.000740      3.142201e-11    -9.799388e-11  
   112.0     -0.008157       0.017878      1.379423e-11    -3.850257e-11  
   113.0     -0.012488       0.033686     -1.888838e-13     2.370184e-11  
   114.0     -0.013550       0.040724     -5.084634e-12     6.639107e-11  
   115.0     -0.011340       0.036265      1.277055e-12     7.418333e-11  
   116.0     -0.007141       0.022137      1.674073e-11     4.512202e-11  
   117.0     -0.003059       0.004217      3.543422e-11    -7.695464e-12  
   118.0     -0.001174      -0.009892      5.000634e-11    -6.083708e-11  
   119.0     -0.002621      -0.014181      5.470676e-11    -9.026699e-11  
   120.0     -0.007039      -0.007058      4.800186e-11    -8.215596e-11  
   121.0     -0.012670       0.007702      3.345061e-11    -3.974789e-11  
   122.0     -0.017144       0.022574      1.824002e-11     1.746393e-11  
   123.0     -0.018611       0.029866      9.870164e-12     6.258461e-11  
   124.0     -0.016683       0.025601      1.247917e-11     7.443144e-11  
   125.0     -0.012671       0.011700      2.465470e-11     4.849663e-11  
   126.0     -0.008953      -0.004853      3.999132e-11    -1.896381e-13  
   127.0     -0.007734      -0.015615      5.030584e-11    -4.444500e-11  
   128.0     -0.009848      -0.015264      4.996212e-11    -5.926952e-11  
   129.0     -0.014262      -0.004634      3.900180e-11    -3.564116e-11  
   130.0     -0.018611       0.009610      2.325403e-11     1.404482e-11  
   131.0     -0.020524       0.018679      1.117964e-11     6.251501e-11  
   132.0     -0.018993       0.016753      9.083494e-12     8.302208e-11  
   133.0     -0.014990       0.004490      1.740968e-11     6.501260e-11  
   134.0     -0.010926      -0.011249      3.037545e-11     2.070275e-11  
   135.0     -0.009209      -0.021462      3.932802e-11    -2.187149e-11  
   136.0     -0.010773      -0.020527      3.795077e-11    -3.570068e-11  
   137.0     -0.014469      -0.009763      2.618540e-11    -1.152131e-11  
   138.0     -0.017765       0.003307      1.036328e-11     3.610956e-11  
   139.0     -0.018338       0.009681     -6.903594e-13     7.768226e-11  
   140.0     -0.015570       0.004687     -1.242768e-12     8.742535e-11  
   141.0     -0.010974      -0.008907      7.620293e-12     6.003759e-11  
   142.0     -0.007223      -0.022630      1.862995e-11     1.440360e-11  
   143.0     -0.006386      -0.027896      2.305873e-11    -1.861524e-11  
   144.0     -0.008537      -0.021779      1.651580e-11    -1.665896e-11  
   145.0     -0.011689      -0.009060      1.944635e-12     1.896739e-11  
   146.0     -0.013134       0.000984     -1.229680e-11     6.394716e-11  
   147.0     -0.011308       0.000966     -1.809713e-11     8.742815e-11  
   148.0     -0.006890      -0.009437     -1.318169e-11     7.332526e-11  
   149.0     -0.002347      -0.023202     -2.732145e-12     3.167291e-11  
   150.0     -0.000202      -0.030878      4.202877e-12    -8.232420e-12  
   151.0     -0.001241      -0.027327      1.088706e-12    -1.847132e-11  
   152.0     -0.003941      -0.015451     -1.141324e-11     7.532756e-12  
   153.0     -0.005562      -0.004133     -2.586754e-11     5.013765e-11  
   154.0     -0.004137      -0.001786     -3.339476e-11     7.756682e-11  
   155.0      0.000071      -0.010160     -3.012296e-11     6.904878e-11  
   156.0      0.004757      -0.023009     -2.004493e-11     3.015599e-11  
   157.0      0.007267      -0.030706     -1.210043e-11    -1.117612e-11  
   158.0      0.006581      -0.027444     -1.354795e-11    -2.534168e-11  
   159.0      0.004085      -0.015636     -2.452228e-11    -3.241337e-12  
   160.0      0.002522      -0.004115     -3.789740e-11     3.677185e-11  
   161.0      0.003908      -0.001420     -4.464574e-11     6.270617e-11  
   162.0      0.007978      -0.009241     -4.069744e-11     5.329038e-11  
   163.0      0.012382      -0.021091     -3.006664e-11     1.433824e-11  
   164.0      0.014492      -0.027316     -2.178128e-11    -2.563447e-11  
   165.0      0.013444      -0.022613     -2.290634e-11    -3.743861e-11  
   166.0      0.010816      -0.010207     -3.303852e-11    -1.394985e-11  
   167.0      0.009387       0.000673     -4.459969e-11     2.425860e-11  
   168.0      0.010942       0.002074     -4.877215e-11     4.504726e-11  
   169.0      0.014846      -0.006348     -4.245599e-11     3.011135e-11  
   170.0      0.018547      -0.017050     -3.073792e-11    -1.043330e-11  
   171.0      0.019613      -0.020633     -2.285157e-11    -4.605569e-11  
   172.0      0.017683      -0.013427     -2.479274e-11    -5.023865e-11  
   173.0      0.014765      -0.000465     -3.449478e-11    -2.182806e-11  
