#Longitud de onda =  780  nm				Anchura de pulso =  100  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0    9.372315e-02   4.436028e-02    3.132734e-10     1.478308e-10  
     1.0    9.391560e-02   3.979244e-02    3.145611e-10     1.324561e-10  
     2.0    9.390943e-02   3.528583e-02    3.151842e-10     1.172878e-10  
     3.0    9.371056e-02   3.084793e-02    3.151617e-10     1.023519e-10  
     4.0    9.332520e-02   2.648588e-02    3.145133e-10     8.767343e-11  
     5.0    9.275977e-02   2.220642e-02    3.132593e-10     7.327578e-11  
     6.0    9.202090e-02   1.801590e-02    3.114211e-10     5.918125e-11  
     7.0    9.111543e-02   1.392030e-02    3.090204e-10     4.541076e-11  
     8.0    9.005033e-02   9.925188e-03    3.060796e-10     3.198393e-11  
     9.0    8.883275e-02   6.035762e-03    3.026215e-10     1.891904e-11  
    10.0    8.746994e-02   2.256817e-03    2.986694e-10     6.233021e-12  
    11.0    8.596927e-02  -1.407238e-03    2.942468e-10    -6.058508e-12  
    12.0    8.433820e-02  -4.952384e-03    2.893779e-10    -1.794127e-11  
    13.0    8.258424e-02  -8.374988e-03    2.840867e-10    -2.940232e-11  
    14.0    8.071496e-02  -1.167180e-02    2.783975e-10    -4.043001e-11  
    15.0    7.873796e-02  -1.483994e-02    2.723347e-10    -5.101402e-11  
    16.0    7.666085e-02  -1.787692e-02    2.659230e-10    -6.114530e-11  
    17.0    7.449124e-02  -2.078059e-02    2.591866e-10    -7.081610e-11  
    18.0    7.223669e-02  -2.354919e-02    2.521501e-10    -8.001989e-11  
    19.0    6.990475e-02  -2.618129e-02    2.448377e-10    -8.875139e-11  
    20.0    6.750290e-02  -2.867582e-02    2.372734e-10    -9.700654e-11  
    21.0    6.503856e-02  -3.103204e-02    2.294813e-10    -1.047824e-10  
    22.0    6.251905e-02  -3.324954e-02    2.214849e-10    -1.120774e-10  
    23.0    5.995160e-02  -3.532823e-02    2.133074e-10    -1.188907e-10  
    24.0    5.734332e-02  -3.726832e-02    2.049719e-10    -1.252229e-10  
    25.0    5.470121e-02  -3.907034e-02    1.965009e-10    -1.310755e-10  
    26.0    5.203210e-02  -4.073507e-02    1.879164e-10    -1.364511e-10  
    27.0    4.934270e-02  -4.226361e-02    1.792401e-10    -1.413532e-10  
    28.0    4.663954e-02  -4.365728e-02    1.704930e-10    -1.457863e-10  
    29.0    4.392901e-02  -4.491768e-02    1.616958e-10    -1.497559e-10  
    30.0    4.121727e-02  -4.604666e-02    1.528684e-10    -1.532681e-10  
    31.0    3.851034e-02  -4.704626e-02    1.440301e-10    -1.563302e-10  
    32.0    3.581402e-02  -4.791878e-02    1.351998e-10    -1.589500e-10  
    33.0    3.313390e-02  -4.866668e-02    1.263955e-10    -1.611361e-10  
    34.0    3.047538e-02  -4.929265e-02    1.176346e-10    -1.628980e-10  
    35.0    2.784363e-02  -4.979954e-02    1.089340e-10    -1.642456e-10  
    36.0    2.524360e-02  -5.019037e-02    1.003095e-10    -1.651896e-10  
    37.0    2.268001e-02  -5.046829e-02    9.177666e-11    -1.657411e-10  
    38.0    2.015736e-02  -5.063663e-02    8.334991e-11    -1.659120e-10  
    39.0    1.767991e-02  -5.069882e-02    7.504314e-11    -1.657144e-10  
    40.0    1.525170e-02  -5.065841e-02    6.686944e-11    -1.651611e-10  
    41.0    1.287649e-02  -5.051905e-02    5.884118e-11    -1.642652e-10  
    42.0    1.055786e-02  -5.028450e-02    5.096995e-11    -1.630400e-10  
    43.0    8.299100e-03  -4.995857e-02    4.326660e-11    -1.614994e-10  
    44.0    6.103284e-03  -4.954516e-02    3.574120e-11    -1.596575e-10  
    45.0    3.973242e-03  -4.904821e-02    2.840311e-11    -1.575284e-10  
    46.0    1.911565e-03  -4.847170e-02    2.126091e-11    -1.551268e-10  
    47.0   -7.939475e-05  -4.781968e-02    1.432245e-11    -1.524672e-10  
    48.0   -1.997518e-03  -4.709616e-02    7.594859e-12    -1.495645e-10  
    49.0   -3.840920e-03  -4.630522e-02    1.084522e-12    -1.464335e-10  
    50.0   -5.607947e-03  -4.545091e-02   -5.202872e-12    -1.430891e-10  
    51.0   -7.297169e-03  -4.453728e-02   -1.126234e-11    -1.395462e-10  
    52.0   -8.907382e-03  -4.356836e-02   -1.708958e-11    -1.358197e-10  
    53.0   -1.043760e-02  -4.254816e-02   -2.268097e-11    -1.319244e-10  
    54.0   -1.188705e-02  -4.148065e-02   -2.803353e-11    -1.278751e-10  
    55.0   -1.325517e-02  -4.036974e-02   -3.314494e-11    -1.236865e-10  
    56.0   -1.454159e-02  -3.921933e-02   -3.801347e-11    -1.193729e-10  
