#Longitud de onda =  618  nm				Anchura de pulso =  150  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0   -3.353476e-01    -0.143772     -1.121779e-09    -4.802145e-10  
     1.0   -3.396185e-01    -0.124894     -1.139196e-09    -4.178849e-10  
     2.0   -3.428588e-01    -0.105920     -1.153156e-09    -3.552385e-10  
     3.0   -3.450736e-01    -0.086907     -1.163666e-09    -2.924616e-10  
     4.0   -3.462706e-01    -0.067909     -1.170744e-09    -2.297384e-10  
     5.0   -3.464606e-01    -0.048981     -1.174415e-09    -1.672505e-10  
     6.0   -3.456572e-01    -0.030177     -1.174716e-09    -1.051762e-10  
     7.0   -3.438766e-01    -0.011547     -1.171693e-09    -4.369007e-11  
     8.0   -3.411380e-01     0.006855     -1.165399e-09     1.703736e-11  
     9.0   -3.374629e-01     0.024982     -1.155899e-09     7.684027e-11  
    10.0   -3.328752e-01     0.042784     -1.143264e-09     1.355579e-10  
    11.0   -3.274013e-01     0.060216     -1.127573e-09     1.930349e-10  
    12.0   -3.210699e-01     0.077231     -1.108916e-09     2.491218e-10  
    13.0   -3.139118e-01     0.093789     -1.087386e-09     3.036755e-10  
    14.0   -3.059596e-01     0.109846     -1.063086e-09     3.565592e-10  
    15.0   -2.972481e-01     0.125365     -1.036125e-09     4.076433e-10  
    16.0   -2.878137e-01     0.140308     -1.006618e-09     4.568050e-10  
    17.0   -2.776943e-01     0.154641     -9.746849e-10     5.039293e-10  
    18.0   -2.669295e-01     0.168331     -9.404529e-10     5.489087e-10  
    19.0   -2.555601e-01     0.181349     -9.040529e-10     5.916437e-10  
    20.0   -2.436282e-01     0.193666     -8.656201e-10     6.320428e-10  
    21.0   -2.311769e-01     0.205258     -8.252943e-10     6.700228e-10  
    22.0   -2.182501e-01     0.216102     -7.832183e-10     7.055089e-10  
    23.0   -2.048926e-01     0.226176     -7.395383e-10     7.384347e-10  
    24.0   -1.911499e-01     0.235465     -6.944028e-10     7.687424e-10  
    25.0   -1.770678e-01     0.243952     -6.479625e-10     7.963830e-10  
    26.0   -1.626925e-01     0.251625     -6.003697e-10     8.213157e-10  
    27.0   -1.480704e-01     0.258473     -5.517779e-10     8.435088e-10  
    28.0   -1.332480e-01     0.264491     -5.023411e-10     8.629389e-10  
    29.0   -1.182714e-01     0.269671     -4.522137e-10     8.795913e-10  
    30.0   -1.031869e-01     0.274012     -4.015497e-10     8.934596e-10  
    31.0   -8.804023e-02     0.277515     -3.505023e-10     9.045459e-10  
    32.0   -7.287650e-02     0.280181     -2.992239e-10     9.128605e-10  
    33.0   -5.774036e-02     0.282015     -2.478648e-10     9.184218e-10  
    34.0   -4.267563e-02     0.283024     -1.965738e-10     9.212560e-10  
    35.0   -2.772528e-02     0.283219     -1.454970e-10     9.213971e-10  
    36.0   -1.293125e-02     0.282610     -9.477765e-11     9.188865e-10  
    37.0    1.665575e-03     0.281212     -4.455593e-11     9.137729e-10  
    38.0    1.602557e-02     0.279041      5.031585e-12     9.061120e-10  
    39.0    3.011040e-02     0.276114      5.385224e-11     8.959662e-10  
    40.0    4.388314e-02     0.272451      1.017776e-10     8.834044e-10  
    41.0    5.730837e-02     0.268076      1.486839e-10     8.685013e-10  
    42.0    7.035225e-02     0.263009      1.944520e-10     8.513379e-10  
    43.0    8.298261e-02     0.257278      2.389682e-10     8.320003e-10  
    44.0    9.516900e-02     0.250909      2.821238e-10     8.105798e-10  
    45.0    1.068828e-01     0.243929      3.238163e-10     7.871726e-10  
    46.0    1.180972e-01     0.236368      3.639484e-10     7.618791e-10  
    47.0    1.287873e-01     0.228258      4.024293e-10     7.348039e-10  
    48.0    1.389302e-01     0.219629      4.391742e-10     7.060551e-10  
    49.0    1.485049e-01     0.210515      4.741048e-10     6.757444e-10  
    50.0    1.574927e-01     0.200949      5.071493e-10     6.439858e-10  
    51.0    1.658765e-01     0.190967      5.382424e-10     6.108965e-10  
    52.0    1.736417e-01     0.180602      5.673254e-10     5.765951e-10  
    53.0    1.807756e-01     0.169891      5.943468e-10     5.412024e-10  
    54.0    1.872675e-01     0.158871      6.192615e-10     5.048404e-10  
    55.0    1.931089e-01     0.147576      6.420315e-10     4.676318e-10  
    56.0    1.982935e-01     0.136046      6.626254e-10     4.297000e-10  
    57.0    2.028167e-01     0.124315      6.810188e-10     3.911687e-10  
    58.0    2.066763e-01     0.112421      6.971940e-10     3.521612e-10  
    59.0    2.098721e-01     0.100401      7.111402e-10     3.128001e-10  
    60.0    2.124056e-01     0.088291      7.228532e-10     2.732072e-10  
    61.0    2.142805e-01     0.076127      7.323351e-10     2.335030e-10  
    62.0    2.155024e-01     0.063945      7.395947e-10     1.938063e-10  
    63.0    2.160787e-01     0.051780      7.446472e-10     1.542339e-10  
    64.0    2.160186e-01     0.039667      7.475138e-10     1.149002e-10  
    65.0    2.153331e-01     0.027640      7.482217e-10     7.591725e-11  
    66.0    2.140348e-01     0.015731      7.468041e-10     3.739384e-11  
    67.0    2.121381e-01     0.003972      7.432996e-10    -5.642358e-13  
    68.0    2.096588e-01    -0.007604      7.377524e-10    -3.785471e-11  
    69.0    2.066142e-01    -0.018968      7.302118e-10    -7.437904e-11  
    70.0    2.030230e-01    -0.030091      7.207323e-10    -1.100426e-10  
    71.0    1.989054e-01    -0.040946      7.093729e-10    -1.447551e-10  
    72.0    1.942825e-01    -0.051504      6.961972e-10    -1.784305e-10  
    73.0    1.891769e-01    -0.061742      6.812729e-10    -2.109873e-10  
    74.0    1.836121e-01    -0.071635      6.646718e-10    -2.423489e-10  
    75.0    1.776125e-01    -0.081161      6.464692e-10    -2.724436e-10  
    76.0    1.712035e-01    -0.090299      6.267441e-10    -3.012044e-10  
    77.0    1.644113e-01    -0.099028      6.055783e-10    -3.285697e-10  
    78.0    1.572629e-01    -0.107331      5.830564e-10    -3.544829e-10  
    79.0    1.497856e-01    -0.115191      5.592658e-10    -3.788918e-10  
    80.0    1.420074e-01    -0.122591      5.342958e-10    -4.017487e-10  
    81.0    1.339569e-01    -0.129516      5.082378e-10    -4.230084e-10  
    82.0    1.256627e-01    -0.135951      4.811847e-10    -4.426254e-10  
    83.0    1.171540e-01    -0.141876      4.532312e-10    -4.605488e-10  
    84.0    1.084602e-01    -0.147265      4.244731e-10    -4.767121e-10  
    85.0    9.961099e-02    -0.152080      3.950078e-10    -4.910170e-10  
    86.0    9.063697e-02    -0.156261      3.649352e-10    -5.033075e-10  
    87.0    8.157004e-02    -0.159712      3.343589e-10    -5.133304e-10  
    88.0    7.244463e-02    -0.162282      3.033895e-10    -5.206816e-10  
    89.0    6.329976e-02    -0.163743      2.721499e-10    -5.247375e-10  
    90.0    5.418215e-02    -0.163769      2.407839e-10    -5.245794e-10  
    91.0    4.515068e-02    -0.161918      2.094687e-10    -5.189277e-10  
    92.0    3.628230e-02    -0.157631      1.784328e-10    -5.061136e-10  
    93.0    2.767891e-02    -0.150268      1.479768e-10    -4.841299e-10  
    94.0    1.947419e-02    -0.139180      1.184971e-10    -4.508104e-10  
    95.0    1.183826e-02    -0.123843      9.050516e-11    -4.041791e-10  
    96.0    4.977407e-03    -0.104044      6.463536e-11    -3.429853e-10  
    97.0   -8.748914e-04    -0.080103      4.162982e-11    -2.673879e-10  
    98.0   -5.478738e-03    -0.053071      2.228912e-11    -1.796704e-10  
    99.0   -8.622147e-03    -0.024846      7.379882e-12    -8.478555e-11  
   100.0   -1.016709e-02     0.001883     -2.500436e-12     9.536480e-12  
   101.0   -1.010061e-02     0.023942     -7.087865e-12     9.337979e-11  
   102.0   -8.578824e-03     0.038231     -6.613853e-12     1.560909e-10  
   103.0   -5.948051e-03     0.042483     -1.917504e-12     1.885105e-10  
   104.0   -2.726822e-03     0.036048      5.546302e-12     1.855982e-10  
   105.0    4.609232e-04     0.020448      1.384760e-11     1.487390e-10  
   106.0    2.998760e-03    -0.000557      2.088430e-11     8.684341e-11  
   107.0    4.416873e-03    -0.021593      2.481032e-11     1.545398e-11  
   108.0    4.520943e-03    -0.036948      2.449430e-11    -4.645416e-11  
   109.0    3.466117e-03    -0.042253      1.987101e-11    -8.151045e-11  
   110.0    1.737849e-03    -0.036016      1.204236e-11    -7.948393e-11  
   111.0    2.556008e-05    -0.020426      3.035904e-12    -4.138224e-11  
   112.0   -9.874608e-04    -0.000937     -4.767464e-12     1.976767e-11  
   113.0   -8.561186e-04     0.015434     -9.394084e-12     8.244684e-11  
   114.0    4.566882e-04     0.022637     -9.977220e-12     1.238866e-10  
   115.0    2.548204e-03     0.018035     -7.118637e-12     1.287023e-10  
   116.0    4.713598e-03     0.003694     -2.720931e-12     9.550902e-11  
   117.0    6.217374e-03    -0.014202      7.103952e-13     3.835982e-11  
   118.0    6.597533e-03    -0.027811      1.065858e-12    -1.833995e-11  
   119.0    5.871887e-03    -0.031048     -2.466585e-12    -4.997032e-11  
   120.0    4.543283e-03    -0.022461     -9.008603e-12    -4.277516e-11  
   121.0    3.382651e-03    -0.006117     -1.633548e-11    -7.186854e-13  
   122.0    3.074019e-03     0.010140     -2.186211e-11     5.565072e-11  
   123.0    3.883455e-03     0.018422     -2.385199e-11     9.854163e-11  
   124.0    5.518885e-03     0.014786     -2.227331e-11     1.064798e-10  
   125.0    7.265805e-03     0.001395     -1.884680e-11     7.544056e-11  
   126.0    8.346778e-03    -0.014433     -1.620475e-11     2.149507e-11  
   127.0    8.328239e-03    -0.024005     -1.654280e-11    -2.709458e-11  
   128.0    7.357680e-03    -0.021974     -2.045122e-11    -4.477425e-11  
   129.0    6.091284e-03    -0.009395     -2.657013e-11    -2.279779e-11  
   130.0    5.336051e-03     0.006716     -3.230394e-11     2.547413e-11  
   131.0    5.595468e-03     0.017281     -3.524927e-11     7.164666e-11  
   132.0    6.776470e-03     0.016419     -3.455703e-11     8.833795e-11  
   133.0    8.236715e-03     0.004989     -3.143707e-11     6.523076e-11  
   134.0    9.158694e-03    -0.009800     -2.847071e-11     1.553322e-11  
   135.0    9.038489e-03    -0.018666     -2.809078e-11    -3.154090e-11  
   136.0    7.995046e-03    -0.015946     -3.111417e-11    -4.831830e-11  
   137.0    6.701977e-03    -0.003193     -3.622696e-11    -2.579095e-11  
   138.0    5.971287e-03     0.011700     -4.077608e-11     2.046293e-11  
   139.0    6.241199e-03     0.019458     -4.241597e-11     5.978541e-11  
   140.0    7.293361e-03     0.015399     -4.059330e-11     6.586495e-11  
   141.0    8.389778e-03     0.002556     -3.691160e-11     3.382988e-11  
   142.0    8.752044e-03    -0.010240     -3.410535e-11    -1.629652e-11  
   143.0    8.075259e-03    -0.014186     -3.425618e-11    -5.253761e-11  
   144.0    6.734028e-03    -0.006433     -3.741208e-11    -5.217398e-11  
   145.0    5.533617e-03     0.007911     -4.154377e-11    -1.714824e-11  
   146.0    5.164623e-03     0.019213     -4.390160e-11     2.701647e-11  
   147.0    5.728973e-03     0.019937     -4.288216e-11     4.851632e-11  
   148.0    6.667476e-03     0.009923     -3.913297e-11     3.123124e-11  
   149.0    7.148232e-03    -0.003445     -3.511231e-11    -1.388691e-11  
   150.0    6.651707e-03    -0.010419     -3.337894e-11    -5.630306e-11  
   151.0    5.340744e-03    -0.005835     -3.479134e-11    -6.740619e-11  
   152.0    3.946556e-03     0.007133     -3.789388e-11    -4.096734e-11  
   153.0    3.244056e-03     0.019221     -3.995183e-11     2.229916e-12  
   154.0    3.490370e-03     0.021810     -3.891859e-11     2.929481e-11  
   155.0    4.236615e-03     0.013258     -3.492301e-11     1.918006e-11  
   156.0    4.657591e-03     0.000161     -3.018081e-11    -2.177289e-11  
   157.0    4.163093e-03    -0.007525     -2.737024e-11    -6.437684e-11  
   158.0    2.839000e-03    -0.003934     -2.765171e-11    -7.821857e-11  
   159.0    1.384585e-03     0.008270     -2.980295e-11    -5.444177e-11  
   160.0    5.863768e-04     0.019875     -3.113460e-11    -1.251641e-11  
   161.0    7.221036e-04     0.022127     -2.951963e-11     1.441297e-11  
   162.0    1.349227e-03     0.013448     -2.501040e-11     4.759081e-12  
   163.0    1.645298e-03     0.000680     -1.980326e-11    -3.490348e-11  
   164.0    1.043771e-03    -0.006196     -1.655761e-11    -7.480738e-11  
   165.0   -3.251317e-04    -0.001836     -1.634760e-11    -8.499225e-11  
   166.0   -1.734804e-03     0.010268     -1.783199e-11    -5.864872e-11  
   167.0   -2.430883e-03     0.020511     -1.830307e-11    -1.751397e-11  
   168.0   -2.224596e-03     0.020766     -1.581215e-11     5.164489e-12  
   169.0   -1.641029e-03     0.010848     -1.070813e-11    -9.103521e-12  
   170.0   -1.500099e-03    -0.001322     -5.365444e-12    -4.932391e-11  
   171.0   -2.260067e-03    -0.006058     -2.300665e-12    -8.372891e-11  
   172.0   -3.648725e-03     0.000293     -2.167637e-12    -8.520260e-11  
   173.0   -4.882162e-03     0.012380     -3.238675e-12    -5.312023e-11  
   174.0   -5.298716e-03     0.020187     -2.802491e-12    -1.389480e-11  
   175.0   -4.895748e-03     0.017198      6.368514e-13     4.299080e-13  
   176.0   -4.330176e-03     0.005742      6.140526e-12    -2.170445e-11  
   177.0   -4.378415e-03    -0.004914      1.109734e-11    -6.188532e-11  
   178.0   -5.296419e-03    -0.006208      1.335796e-11    -8.682426e-11  
   179.0   -6.607847e-03     0.002622      1.299571e-11    -7.579570e-11  
   180.0   -7.498792e-03     0.013902      1.223839e-11    -3.780313e-11  
   181.0   -7.494383e-03     0.017920      1.361552e-11    -4.121128e-12  
   182.0   -6.853933e-03     0.011060      1.785021e-11    -2.236355e-12  
   183.0   -6.351857e-03    -0.001158      2.325282e-11    -3.285207e-11  
   184.0   -6.625143e-03    -0.008725      2.713274e-11    -6.928829e-11  
   185.0   -7.635549e-03    -0.005610      2.805378e-11    -7.994444e-11  
   186.0   -8.702278e-03     0.005124      2.703700e-11    -5.499985e-11  
   187.0   -9.080236e-03     0.013928      2.668877e-11    -1.474234e-11  
   188.0   -8.594007e-03     0.012924      2.898300e-11     7.678093e-12  
   189.0   -7.786195e-03     0.002647      3.357805e-11    -5.481438e-12  
   190.0   -7.450907e-03    -0.008412      3.810702e-11    -4.138509e-11  
   191.0   -7.950643e-03    -0.011120      4.020159e-11    -6.763980e-11  
   192.0   -8.904401e-03    -0.003594      3.951988e-11    -6.017357e-11  
   193.0   -9.517991e-03     0.007180      3.803252e-11    -2.400432e-11  
   194.0   -9.272744e-03     0.011413      3.831327e-11     1.111000e-11  
   195.0   -8.375466e-03     0.005044      4.130625e-11     1.649392e-11  
   196.0   -7.576831e-03    -0.006718      4.550570e-11    -1.050982e-11  
   197.0   -7.514726e-03    -0.013960      4.826715e-11    -4.424440e-11  
   198.0   -8.156067e-03    -0.010763      4.811303e-11    -5.319440e-11  
   199.0   -8.827404e-03    -0.000406      4.601934e-11    -2.761680e-11  
   200.0   -8.809098e-03     0.007535      4.455200e-11     1.191129e-11  
   201.0   -7.970489e-03     0.005660      4.560562e-11     3.263598e-11  
   202.0   -6.884555e-03    -0.004703      4.873332e-11     1.854693e-11  
   203.0   -6.319098e-03    -0.014684      5.154421e-11    -1.547832e-11  
   204.0   -6.554914e-03    -0.015773      5.182202e-11    -3.690652e-11  
   205.0   -7.137549e-03    -0.007404      4.948947e-11    -2.449076e-11  
   206.0   -7.285088e-03     0.002546      4.667104e-11     1.280924e-11  
   207.0   -6.588730e-03     0.004825      4.579417e-11     4.385460e-11  
   208.0   -5.379024e-03    -0.002886      4.742030e-11     4.320502e-11  
   209.0   -4.428268e-03    -0.013898      4.974652e-11     1.391175e-11  
   210.0   -4.255639e-03    -0.018550      5.022798e-11    -1.526676e-11  
   211.0   -4.660799e-03    -0.012940      4.786695e-11    -1.579182e-11  
   212.0   -4.907635e-03    -0.002442      4.410845e-11     1.491028e-11  
   213.0   -4.392841e-03     0.003179      4.153207e-11     5.115261e-11  
   214.0   -3.193794e-03    -0.001360      4.151909e-11     6.227842e-11  
   215.0   -1.997818e-03    -0.012057      4.300629e-11     4.047027e-11  
   216.0   -1.476438e-03    -0.019288      4.345888e-11     7.813336e-12  
   217.0   -1.674474e-03    -0.016603      4.118087e-11    -3.863486e-12  
   218.0   -1.972006e-03    -0.006620      3.686054e-11     1.796194e-11  
   219.0   -1.654604e-03     0.001391      3.293994e-11     5.508935e-11  
   220.0   -5.697566e-04     0.000024      3.138239e-11     7.529772e-11  
   221.0    7.331158e-04    -0.009453      3.188028e-11     6.190231e-11  
   222.0    1.508263e-03    -0.018283      3.214705e-11     2.904473e-11  
   223.0    1.499584e-03    -0.018310      3.002712e-11     8.627163e-12  
   224.0    1.174196e-03    -0.009513      2.548368e-11     2.088465e-11  
   225.0    1.287455e-03    -0.000008      2.063243e-11     5.572853e-11  
   226.0    2.181657e-03     0.001484      1.778859e-11     8.212041e-11  
   227.0    3.468367e-03    -0.006266      1.733175e-11     7.683683e-11  
   228.0    4.389487e-03    -0.015866      1.736520e-11     4.598072e-11  
   229.0    4.521629e-03    -0.018203      1.548681e-11     1.925709e-11  
   230.0    4.168050e-03    -0.010941      1.102745e-11     2.230513e-11  
   231.0    4.072586e-03    -0.000690      5.675410e-12     5.282845e-11  
   232.0    4.722567e-03     0.003193      1.904419e-12     8.278737e-11  
   233.0    5.892482e-03    -0.002635      6.711274e-13     8.463044e-11  
   234.0    6.855764e-03    -0.012381      5.324905e-13     5.705541e-11  
   235.0    7.066164e-03    -0.016571     -9.910901e-13     2.617544e-11  
   236.0    6.668964e-03    -0.010967     -5.083391e-12     2.097842e-11  
   237.0    6.361416e-03    -0.000542     -1.051826e-11     4.610373e-11  
   238.0    6.733814e-03     0.005220     -1.481017e-11     7.752936e-11  
   239.0    7.712367e-03     0.001286     -1.654741e-11     8.524309e-11  
   240.0    8.629677e-03    -0.008186     -1.671111e-11     6.154269e-11  
   241.0    8.856121e-03    -0.013799     -1.773650e-11     2.825951e-11  
   242.0    8.394630e-03    -0.009828     -2.120299e-11     1.607044e-11  
   243.0    7.875469e-03     0.000357     -2.633651e-11     3.545982e-11  
   244.0    7.956150e-03     0.007508     -3.074096e-11     6.683347e-11  
   245.0    8.696467e-03     0.005301     -3.266543e-11     7.916545e-11  
   246.0    9.502779e-03    -0.003656     -3.265617e-11     5.948079e-11  
   247.0    9.694337e-03    -0.010328     -3.302481e-11     2.515257e-11  
   248.0    9.151781e-03    -0.007883     -3.563924e-11     7.308842e-12  
   249.0    8.429223e-03     0.001786     -4.014049e-11     2.115365e-11  
   250.0    8.223160e-03     0.009891     -4.428436e-11     5.150611e-11  
   251.0    8.706237e-03     0.009169     -4.608101e-11     6.736449e-11  
   252.0    9.363495e-03     0.000831     -4.568849e-11     5.157510e-11  
   253.0    9.487657e-03    -0.006614     -4.525017e-11     1.721889e-11  
   254.0    8.858085e-03    -0.005550     -4.683294e-11    -4.977772e-12  
   255.0    7.951537e-03     0.003435     -5.044235e-11     3.865458e-12  
   256.0    7.482550e-03     0.012130     -5.401808e-11     3.269583e-11  
   257.0    7.715996e-03     0.012619     -5.541269e-11     5.121862e-11  
   258.0    8.213861e-03     0.004908     -5.445112e-11     3.907873e-11  
   259.0    8.259934e-03    -0.003100     -5.308989e-11     5.438321e-12  
   260.0    7.552181e-03    -0.003256     -5.352433e-11    -1.991006e-11  
   261.0    6.494057e-03     0.004961     -5.606928e-11    -1.531465e-11  
   262.0    5.803554e-03     0.013956     -5.885786e-11     1.186079e-11  
   263.0    5.818767e-03     0.015386     -5.964748e-11     3.242535e-11  
   264.0    6.172624e-03     0.008247     -5.798622e-11     2.364848e-11  
   265.0    6.151653e-03    -0.000174     -5.564364e-11    -8.744483e-12  
