#Longitud de onda =  497  nm				Anchura de pulso =  50  nm
 Iteracion  E(x,n+1) real  E(x,n+1) imag  B(x,n+3/2) real  B(x,n+3/2) imag
     0.0    1.141202e-04  -2.025575e-05    3.805613e-13    -7.069006e-14  
     1.0    1.057223e-04  -2.555016e-05    3.524718e-13    -9.147056e-14  
     2.0    9.747042e-05  -2.995823e-05    3.249209e-13    -1.092865e-13  
     3.0    8.940954e-05  -3.354376e-05    2.980840e-13    -1.243461e-13  
     4.0    8.157745e-05  -3.637015e-05    2.721122e-13    -1.368558e-13  
     5.0    7.400534e-05  -3.849998e-05    2.471345e-13    -1.470184e-13  
     6.0    6.671828e-05  -3.999462e-05    2.232588e-13    -1.550316e-13  
     7.0    5.973562e-05  -4.091394e-05    2.005733e-13    -1.610871e-13  
     8.0    5.307153e-05  -4.131600e-05    1.791481e-13    -1.653692e-13  
     9.0    4.673541e-05  -4.125684e-05    1.590369e-13    -1.680537e-13  
    10.0    4.073242e-05  -4.079030e-05    1.402778e-13    -1.693079e-13  
    11.0    3.506383e-05  -3.996791e-05    1.228951e-13    -1.692891e-13  
    12.0    2.972754e-05  -3.883875e-05    1.069004e-13    -1.681447e-13  
    13.0    2.471849e-05  -3.744940e-05    9.229391e-14    -1.660120e-13  
    14.0    2.002901e-05  -3.584390e-05    7.906562e-14    -1.630175e-13  
    15.0    1.564929e-05  -3.406376e-05    6.719637e-14    -1.592769e-13  
    16.0    1.156771e-05  -3.214794e-05    5.665891e-14    -1.548955e-13  
    17.0    7.771167e-06  -3.013292e-05    4.741887e-14    -1.499681e-13  
    18.0    4.245479e-06  -2.805273e-05    3.943561e-14    -1.445788e-13  
    19.0    9.756425e-07  -2.593903e-05    3.266306e-14    -1.388019e-13  
    20.0   -2.053853e-06  -2.382116e-05    2.705046e-14    -1.327017e-13  
    21.0   -4.858754e-06  -2.172626e-05    2.254297e-14    -1.263331e-13  
    22.0   -7.454787e-06  -1.967936e-05    1.908230e-14    -1.197422e-13  
    23.0   -9.857426e-06  -1.770345e-05    1.660723e-14    -1.129663e-13  
    24.0   -1.208168e-05  -1.581960e-05    1.505403e-14    -1.060350e-13  
    25.0   -1.414188e-05  -1.404706e-05    1.435688e-14    -9.897009e-14  
    26.0   -1.605155e-05  -1.240332e-05    1.444816e-14    -9.178689e-14  
    27.0   -1.782317e-05  -1.090426e-05    1.525877e-14    -8.449428e-14  
    28.0   -1.946812e-05  -9.564171e-06    1.671835e-14    -7.709554e-14  
    29.0   -2.099650e-05  -8.395894e-06    1.875543e-14    -6.958899e-14  
    30.0   -2.241703e-05  -7.410843e-06    2.129760e-14    -6.196864e-14  
    31.0   -2.373698e-05  -6.619092e-06    2.427162e-14    -5.422483e-14  
    32.0   -2.496209e-05  -6.029419e-06    2.760352e-14    -4.634497e-14  
    33.0   -2.609650e-05  -5.649353e-06    3.121862e-14    -3.831414e-14  
    34.0   -2.714269e-05  -5.485196e-06    3.504164e-14    -3.011583e-14  
    35.0   -2.810152e-05  -5.542053e-06    3.899667e-14    -2.173260e-14  
    36.0   -2.897212e-05  -5.823836e-06    4.300725e-14    -1.314676e-14  
    37.0   -2.975197e-05  -6.333262e-06    4.699639e-14    -4.341040e-15  
    38.0   -3.043687e-05  -7.071845e-06    5.088661e-14     4.700754e-15  
    39.0   -3.102099e-05  -8.039867e-06    5.460001e-14     1.399307e-14  
    40.0   -3.149690e-05  -9.236348e-06    5.805830e-14     2.354796e-14  
    41.0   -3.185564e-05  -1.065901e-05    6.118293e-14     3.337450e-14  
    42.0   -3.208676e-05  -1.230421e-05    6.389520e-14     4.347812e-14  
    43.0   -3.217845e-05  -1.416691e-05    6.611638e-14     5.386004e-14  
    44.0   -3.211761e-05  -1.624058e-05    6.776794e-14     6.451672e-14  
    45.0   -3.188996e-05  -1.851717e-05    6.877173e-14     7.543929e-14  
    46.0   -3.148019e-05  -2.098698e-05    6.905025e-14     8.661304e-14  
    47.0   -3.087208e-05  -2.363865e-05    6.852697e-14     9.801695e-14  
